rank,pct,cosine,name,type,node_id
1,2.7027027027027026,-0.0026179496198892593,Fedratinib,drug,15250
2,5.405405405405405,-0.04518761858344078,Filgotinib,drug,15768
3,8.108108108108109,-0.04944534972310066,Tofacitinib,drug,14407
4,10.81081081081081,-0.0642072930932045,Baricitinib,drug,15666
5,13.513513513513514,-0.13526403903961182,Myricetin,drug,18870
6,16.216216216216218,-0.13779164850711823,Upadacitinib,drug,15269
7,18.91891891891892,-0.14835287630558014,Ruxolitinib,drug,15597
8,21.62162162162162,-0.16389162838459015,3-Fluoro-L-tyrosine,drug,20041
9,24.324324324324323,-0.16674551367759705,Cambinol,drug,19378
10,27.027027027027028,-0.16889557242393494,Reversine,drug,19563
11,29.72972972972973,-0.17210201919078827,Entrectinib,drug,15673
12,32.432432432432435,-0.18661899864673615,Fostamatinib,drug,15674
13,35.13513513513514,-0.19697967171669006,Sirolimus,drug,14975
14,37.83783783783784,-0.20514510571956635,XL019,drug,19316
15,40.54054054054054,-0.21557320654392242,Sarilumab,drug,15662
16,43.24324324324324,-0.2163947969675064,Benzylsulfonic acid,drug,18407
17,45.945945945945944,-0.21752995252609253,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",drug,19315
18,48.648648648648646,-0.21936346590518951,Polaprezinc,drug,14734
19,51.351351351351354,-0.22023513913154602,Mangafodipir,drug,14389
20,54.054054054054056,-0.233999103307724,Tocilizumab,drug,15563
21,56.75675675675676,-0.2392919957637787,Temsirolimus,drug,15012
22,59.45945945945946,-0.24008071422576904,Thimerosal,drug,14444
23,62.16216216216216,-0.24240675568580627,Rimiducid,drug,19307
24,64.86486486486487,-0.2481413632631302,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,drug,19319
25,67.56756756756756,-0.24868826568126678,5-phenyl-1H-indazol-3-amine,drug,19317
26,70.27027027027027,-0.25163859128952026,XL765,drug,18872
27,72.97297297297297,-0.26766812801361084,Hesperidin,drug,19562
28,75.67567567567568,-0.27634397149086,Pyrazolanthrone,drug,18593
29,78.37837837837837,-0.27689307928085327,SF1126,drug,18180
30,81.08108108108108,-0.2779282033443451,AT9283,drug,18264
31,83.78378378378379,-0.2998368442058563,BOS172722,drug,19866
32,86.48648648648648,-0.303861141204834,Everolimus,drug,15176
33,89.1891891891892,-0.31045979261398315,Zanubrutinib,drug,15748
34,91.89189189189189,-0.3194602131843567,Pimecrolimus,drug,15432
35,94.5945945945946,-0.351904034614563,Ridaforolimus,drug,15560
36,97.29729729729729,-0.38586872816085815,Enzastaurin,drug,17210
37,100.0,-0.39990055561065674,4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,drug,19318
