drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
dasatinib,9,9,1,5,0,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_150_rescue;GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue,,1,7.12023649956272e-07,8.949741711255919e-05,0.0021578261881938,0.4317528746986188,1.5686683803158758e-21,4.227561284951285e-18,0.687,6.148,0.756,1.928,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,APPROVED_MEDICATION,FDA; EMA,Approved tyrosine-kinase inhibitor for Ph+ CML and ALL; used as the approved component of a dasatinib + quercetin senolytic adjunct,BCR-ABL / SRC / senolytic adjunct,Tier2-SENESCENCE (adjunct),True,track2_candidates,mechanism_ok,WEAK,only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,dasatinib,False
sirolimus,13,13,1,9,2,GSE22206_case_v_control_100_rescue,GSE134780_HH_v_WT_fat_250_rescue;GSE22206_LCL_case_v_control_100_rescue;GSE22206_LCL_case_v_control_150_rescue;GSE22206_LCL_case_v_control_250_rescue;GSE22206_case_v_control_150_rescue;GSE22206_case_v_control_250_rescue;GSE22206_fibro_case_v_control_100_rescue;GSE22206_fibro_case_v_control_150_rescue;GSE22206_fibro_case_v_control_250_rescue,GSE134780_HL1002P_v_WT_fat_250_rescue;GSE22206_case_v_control_100_rescue,1,1.699987987803262e-06,0.0001972421960207,4.1251167427815636e-10,6.436604572788474e-08,9.212274243388229e-18,2.6314861376238474e-14,0.459,5.77,0.67,2.438,MIXED,adj_pvalue_down (rescue-sorted),0,0,,,,False,1,1,APPROVED_MEDICATION,FDA; EMA,mTORC1 inhibition; fly TOR-depletion / larval rapamycin rescued aneuploid neuroblast COUNTS (not brain size),MTORC1/autophagy via FKBP1A,Tier2-AUTOPHAGY,True,track2_candidates,mechanism_ok,WEAK,only_1_signature_total; mixed_l2s2_directionality_reverse_and_mimic,sirolimus,False
