drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
sirolimus,13,5,1,4,2,GSE22206_case_v_control,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,GSE134780_HL1002P_v_WT_fat;GSE22206_case_v_control,1,6.685510126033126e-07,9.14294157539015e-05,6.864188438675189e-11,1.106360086562183e-08,3.794116195671237e-17,1.079805469288034e-13,0.49,6.175,0.673,2.464,MIXED,"pvalue_up (mimic-sorted, default)",5,3,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134781_hetL1002P_v_WT,0.04522,0.0519,False,2,4,APPROVED_MEDICATION,FDA; EMA,mTORC1 inhibition; fly TOR-depletion / larval rapamycin rescued aneuploid neuroblast COUNTS (not brain size),MTORC1/autophagy via FKBP1A,Tier2-AUTOPHAGY,True,track2_candidates,mechanism_ok,WEAK,mixed_l2s2_directionality_reverse_and_mimic,sirolimus,True
dasatinib,10,4,1,2,0,GSE22206_case_v_control,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control,,1,9.690845394164226e-08,1.508096043581488e-05,0.0021578261881938,0.4317528746986188,6.5664553373986665e-21,3.18741671147264e-17,0.705,7.014,0.697,1.928,MIXED,"pvalue_up (mimic-sorted, default)",3,1,GSE22206_fibro_case_v_control,0.14983,0.1623,False,2,2,APPROVED_MEDICATION,FDA; EMA,Approved tyrosine-kinase inhibitor for Ph+ CML and ALL; used as the approved component of a dasatinib + quercetin senolytic adjunct,BCR-ABL / SRC / senolytic adjunct,Tier2-SENESCENCE (adjunct),True,track2_candidates,mechanism_ok,WEAK,mixed_l2s2_directionality_reverse_and_mimic,dasatinib,True
niclosamide,1,1,1,0,1,GSE22206_case_v_control,,GSE22206_case_v_control,1,8.941451739724977e-09,1.9215605572085157e-06,2.6635007471663414e-11,5.008491196650708e-09,0.9999999999997012,1.0,8.049,8.049,5.431,5.431,REVERSE,"pvalue_up (mimic-sorted, default)",16,2,GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.09448,0.1392,False,2,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,niclosamide,True
afatinib,7,3,1,2,1,GSE22206_case_v_control,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control,GSE22206_case_v_control,1,3.7704328364119397e-14,2.430851912961012e-11,1.1794134994873364e-07,1.0945975058879976e-05,1.8795237890666248e-10,1.6787279976013406e-07,1.918,13.424,1.161,2.983,MIXED,"pvalue_up (mimic-sorted, default)",14,1,GSE22206_fibro_case_v_control,0.16444,0.1982,False,2,2,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; mixed_l2s2_directionality_reverse_and_mimic,afatinib,True
neratinib,4,2,1,0,1,GSE22206_case_v_control,,GSE22206_case_v_control,1,6.774856349024576e-11,2.3519174387036852e-08,8.228444281493455e-12,1.7683318591609502e-09,0.0076503877036401,0.3105094554827977,2.69,10.169,2.657,4.482,REVERSE,"pvalue_up (mimic-sorted, default)",1,1,GSE22206_fibro_case_v_control,0.1623,0.1623,False,2,2,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,neratinib,True
sorafenib,7,5,1,0,1,GSE22206_case_v_control,,GSE22206_case_v_control,1,1.256334119547039e-06,0.0001492062074083,0.0002392586033968,0.0114869582673411,0.0076941306505678,0.2620267381293468,0.859,5.901,0.745,2.35,REVERSE,"pvalue_up (mimic-sorted, default)",1,1,GSE134781_hetX753_v_WT,0.0219,0.0219,False,2,2,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,sorafenib,True
erlotinib,9,5,1,2,0,GSE22206_case_v_control,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control,,1,2.6046281155101053e-06,0.0002733648066348,0.0356131310415068,1.0,1.7677302554685483e-06,0.0008090470862471,0.636,5.584,0.487,1.694,MIXED,"pvalue_up (mimic-sorted, default)",7,1,GSE22206_fibro_case_v_control,0.14961,0.1558,False,2,2,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; mixed_l2s2_directionality_reverse_and_mimic,erlotinib,True
trichostatin a,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",65,7,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetL1002P_v_WT;GSE134781_hetX753_v_WT;GSE22206_LCL_case_v_control,0.04312,0.0888,False,1,7,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,trichostatin a,False
dl pdmp,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",14,6,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.09994,0.1899,False,1,6,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,dl pdmp,False
tg101348,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",16,6,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.06786,0.1456,False,1,6,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,tg101348,False
vorinostat,16,7,0,4,0,GSE134780_HL1002P_v_WT_fat,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,,1,0.0432401747235323,1.0,0.2082936261239918,1.0,3.2622607328249023e-19,4.95815749375411e-16,0.153,1.364,0.229,1.208,MIMIC,"pvalue_up (mimic-sorted, default)",65,5,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetX753_v_WT;GSE22206_LCL_case_v_control,0.03916,0.0794,False,1,5,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,vorinostat,True
cot 10b,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",17,5,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.09982,0.1552,False,1,5,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,cot 10b,False
niguldipine,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",9,5,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.09808,0.1681,False,1,5,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,niguldipine,False
gw405833,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",10,5,GSE134780_HH_v_WT_fat;GSE134781_hetX753_v_WT;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.08898,0.1681,False,1,5,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,gw405833,False
tyrphostin ag 1478,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",12,5,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134781_hetL1002P_v_WT;GSE22206_case_v_control,0.08458,0.1638,False,1,5,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,tyrphostin ag 1478,False
perhexiline,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",17,5,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.07798,0.1595,False,1,5,APPROVED_MEDICATION,,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR inhibitor,,True,chembl_axis_approved,mechanism_ok,REJECT,pediatric_safety_contraindication,perhexiline,False
chemistry 2804,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",14,5,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetX753_v_WT,0.03401,0.0496,False,1,5,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,chemistry 2804,False
teniposide,2,2,0,0,1,GSE22206_case_v_control,,GSE22206_case_v_control,1,0.0304566848954356,0.6294181503055933,4.496052990551344e-05,0.0025684414109314,0.994794998553686,1.0,0.758,1.516,2.419,4.837,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",7,4,GSE134780_HH_v_WT_fat;GSE134781_hetL1002P_v_WT;GSE134781_hetX753_v_WT;GSE22206_case_v_control,0.06174,0.1329,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,teniposide,True
mitomycin c,1,1,0,0,0,GSE22206_case_v_control,,,1,0.0309105127069978,0.6294181503055933,0.8301994450600766,1.0,0.9999999999996558,1.0,1.51,1.51,0.781,0.781,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",6,4,GSE134780_HH_v_WT_muscle;GSE134781_hetL1002P_v_WT;GSE134781_hetX753_v_WT;GSE22206_LCL_case_v_control,0.04517,0.0685,False,1,4,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism,mitomycin c,True
mitoxantrone,12,5,0,4,0,,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,,0,0.7885000170024165,1.0,0.3547473398501713,1.0,7.25000948781251e-13,1.1570366637068823e-09,0.011,0.103,0.334,1.304,MIMIC,"pvalue_up (mimic-sorted, default)",13,4,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetL1002P_v_WT;GSE134781_hetX753_v_WT,0.06028,0.0779,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,mitoxantrone,True
pd 0325901,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",21,4,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE22206_fibro_case_v_control,0.12106,0.1688,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,pd 0325901,False
wh 4 025,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",8,4,GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.10564,0.1558,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,wh 4 025,False
cam 9 027 3,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",8,4,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.10072,0.1552,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,cam 9 027 3,False
mk 2206,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",10,4,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.09591,0.1681,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,mk 2206,False
pelitinib,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",8,4,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetX753_v_WT;GSE22206_fibro_case_v_control,0.09152,0.1558,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,pelitinib,False
pd 184352,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",11,4,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_muscle;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.08489,0.1688,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,pd 184352,False
bjm ctd2 9,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",11,4,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.07469,0.1519,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,bjm ctd2 9,False
ku 0060648 trihydrochloride,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",6,4,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.06335,0.1332,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,ku 0060648 trihydrochloride,False
rottlerin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",11,4,GSE134780_HH_v_WT_fat;GSE134781_hetL1002P_v_WT;GSE134781_hetX753_v_WT;GSE22206_case_v_control,0.05709,0.1392,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,rottlerin,False
4 demethoxydaunorubicin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",10,4,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetL1002P_v_WT,0.05015,0.0563,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,4 demethoxydaunorubicin,False
narciclasine,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",18,4,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle,0.04695,0.0809,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,narciclasine,False
phorbol 12 myristate 13 acetate (pma),0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",10,4,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetX753_v_WT,0.04235,0.0569,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,phorbol 12 myristate 13 acetate (pma),False
wortmannin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",6,4,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetX753_v_WT,0.04113,0.0634,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,wortmannin,False
arachidonyl trifluoro methyl ketone,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",9,4,GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle;GSE134781_hetX753_v_WT;GSE22206_LCL_case_v_control,0.04069,0.0685,False,1,4,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,arachidonyl trifluoro methyl ketone,False
trametinib,9,5,0,1,0,,GSE22206_LCL_case_v_control,,0,0.0892084655541537,1.0,0.2837110435230787,1.0,0.0002339016588866,0.040864255824371,0.198,1.05,0.218,1.34,MIMIC,"pvalue_up (mimic-sorted, default)",7,3,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_muscle;GSE22206_fibro_case_v_control,0.06716,0.1558,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,trametinib,True
foretinib,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",8,3,GSE134780_HH_v_WT_muscle;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.14377,0.1883,False,1,3,UNKNOWN,,,,,False,none,broad_cancer_kinase,REJECT,not_matched_to_candidate_or_axis; broad_cancer_kinase_not_MVA_axis,foretinib,False
bms 536924,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",7,3,GSE134780_HL1002P_v_WT_fat;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.11971,0.1486,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,bms 536924,False
radicicol,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",12,3,GSE134781_hetX753_v_WT;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.11174,0.1646,False,1,3,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism,radicicol,False
"3,5 dichloro 2 hydroxy n (2 methoxy 5 phenylphenyl)benzenesulfonamide",0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",10,3,GSE134781_hetL1002P_v_WT;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.10554,0.1582,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,"3,5 dichloro 2 hydroxy n (2 methoxy 5 phenylphenyl)benzenesulfonamide",False
akt inhibitor iv,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",7,3,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.10429,0.1595,False,1,3,UNKNOWN,,,,,False,none,broad_cancer_kinase,REJECT,not_matched_to_candidate_or_axis; broad_cancer_kinase_not_MVA_axis,akt inhibitor iv,False
pf 750,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",7,3,GSE134781_hetX753_v_WT;GSE22206_case_v_control;GSE22206_fibro_case_v_control,0.09466,0.1466,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,pf 750,False
salermide,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",6,3,GSE134780_HH_v_WT_muscle;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.09367,0.1646,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,salermide,False
dg 041,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",6,3,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE22206_case_v_control,0.09168,0.1456,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,dg 041,False
ro 28 1675 ?,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",9,3,GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.08988,0.1466,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,ro 28 1675 ?,False
thapsigargin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",7,3,GSE134780_HH_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.0879,0.1329,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,thapsigargin,False
cay10594,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",9,3,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE22206_case_v_control,0.07997,0.1519,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,cay10594,False
geldanamycin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",11,3,GSE134780_HL1002P_v_WT_fat;GSE134781_hetX753_v_WT;GSE22206_fibro_case_v_control,0.0715,0.1883,False,1,3,UNKNOWN,,,,,False,none,cytotoxic_cancer,REJECT,not_matched_to_candidate_or_axis; cytotoxic_or_cancer_mechanism,geldanamycin,False
arp 101,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",6,3,GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.07067,0.1293,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,arp 101,False
importazole,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",12,3,GSE134781_hetX753_v_WT;GSE22206_LCL_case_v_control;GSE22206_case_v_control,0.06788,0.1519,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,importazole,False
amsacrine,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",7,3,GSE134780_HL1002P_v_WT_fat;GSE134781_hetL1002P_v_WT;GSE22206_LCL_case_v_control,0.05963,0.089,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,amsacrine,False
s1030,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",5,3,GSE134780_HH_v_WT_muscle;GSE134781_hetX753_v_WT;GSE22206_LCL_case_v_control,0.05702,0.0753,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,s1030,False
cyt997,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",5,3,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE134781_hetL1002P_v_WT,0.05556,0.0649,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,cyt997,False
"""""""ingenol 3, 20 dibenzoate""""""",0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",7,3,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE134781_hetL1002P_v_WT,0.04601,0.0563,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,"""""""ingenol 3, 20 dibenzoate""""""",False
pac 1,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",7,3,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control,0.04549,0.0685,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,pac 1,False
tw 37,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",5,3,GSE134780_HH_v_WT_fat;GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control,0.04544,0.0588,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,tw 37,False
ql x 138,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",4,3,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE22206_LCL_case_v_control,0.0434,0.0685,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,ql x 138,False
curcubitacin i,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",4,3,GSE134780_HH_v_WT_fat;GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat,0.04235,0.0662,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,curcubitacin i,False
v4877,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",13,3,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle,0.03653,0.0496,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,v4877,False
strophanthidin,0,0,0,0,0,,,,0,,,,,,,,,,,NO_LINCS_HIT,"pvalue_up (mimic-sorted, default)",5,3,GSE134780_HH_v_WT_muscle;GSE134780_HL1002P_v_WT_fat;GSE134780_HL1002P_v_WT_muscle,0.03522,0.0496,False,1,3,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis,strophanthidin,False
