drug,l2s2_n_total,l2s2_n_signatures,l2s2_n_significant,l2s2_n_significant_mimic,l2s2_n_significant_general,l2s2_signatures,l2s2_mimic_signatures,l2s2_general_signatures,l2s2_n_sig_pval,l2s2_min_pvalue,l2s2_min_adj_pvalue,l2s2_min_pvalue_general,l2s2_min_adj_pvalue_general,l2s2_min_pvalue_up,l2s2_min_adj_pvalue_up,l2s2_mean_neglog10p,l2s2_max_neglog10p,l2s2_mean_odds_ratio,l2s2_max_odds_ratio,l2s2_direction,l2s2_retrieval_sort,l1k_n_total,l1k_n_signatures,l1k_signatures,l1k_mean_score,l1k_max_score,l1k_false_rescue,n_engines,n_total_signatures,regulatory_status,approved_jurisdiction,mechanism,target_axis,candidate_tier,lincs_eligible,lookup_source,mechanism_flag,firewall_status,firewall_reason,lincs_drug,signature_has_nominal_genes
drospirenone,2,2,0,0,0,,,,0,1.0,1.0,0.9999999605560648,1.0,0.0305308027413548,0.5320879156518642,-0.0,-0.0,0.048,0.097,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,drospirenone,True
dutasteride,2,1,0,0,0,,,,0,1.0000000000000058,1.0,0.9999998448323988,1.0,0.0146062569552833,0.409868982514383,-0.0,-0.0,0.159,0.22,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,dutasteride,True
dydrogesterone,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,dydrogesterone,False
efavirenz,7,3,0,0,0,,,,0,1.0,1.0,0.9999999577874784,1.0,0.0036233721589163,0.1645014523943773,-0.0,-0.0,0.073,0.213,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,efavirenz,True
eflornithine,2,2,0,0,0,,,,0,0.9999999999998466,1.0,0.9999986593137892,1.0,0.014901719114896,0.4125946142688727,0.0,0.0,0.126,0.252,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,eflornithine,True
elvitegravir,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,elvitegravir,False
empagliflozin,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,empagliflozin,True
emtricitabine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,emtricitabine,True
entecavir,1,1,0,0,0,,,,0,0.9999999999997568,1.0,0.9999999563837536,1.0,0.0072508471039698,0.3220767539252558,0.0,0.0,0.201,0.201,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,entecavir,True
enzalutamide,5,3,0,0,0,,,,0,1.0000000000006302,1.0,0.9999999631361168,1.0,0.0075381714183257,0.2427393415187888,-0.0,-0.0,0.07,0.193,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,enzalutamide,True
epinephrine,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,epinephrine,False
esmolol,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,esmolol,False
estradiol cypionate,4,2,0,1,0,,GSE22206_fibro_case_v_control,,0,0.9999999999994016,1.0,0.9999999987832414,1.0,0.0009051368917519,0.0304496875052413,0.0,0.0,0.012,0.018,MIMIC,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,estradiol cypionate,False
estrone,7,4,0,0,0,,,,0,0.9999999999998314,1.0,0.9999998346619964,1.0,0.0037445925357387,0.1424076516595889,0.0,0.0,0.058,0.266,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,estrone,True
etacrynic acid,1,1,0,0,0,,,,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,0.0,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,etacrynic acid,False
ethylenediaminetetraacetic acid,1,1,0,0,0,,,,0,0.9999999999999958,1.0,0.99938396117786,1.0,0.0302870287318032,0.4957283825652637,0.0,0.0,0.351,0.351,NOT_SIGNIFICANT,"pvalue_up (mimic-sorted, default)",0,0,,,,False,0,0,UNKNOWN,,,,,False,none,mechanism_ok,REJECT,not_matched_to_candidate_or_axis; no_significant_fdr_lincs_signal,ethylenediaminetetraacetic acid,False
