drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
-666,BRD-K56411643,VCAP,10.0,6.0,0.0268,271,40911229,,"GPX1,KRT18,NPY,PEG10,PON2,TGM2","COCH,HNRNPD,NQO1,PAFAH1B1,PFKFB3"
vorinostat,BRD-K81418486,A549,10.0,24.0,0.0268,539,5311,DB02546,"ALDH3A1,CD44,EDN1,GALNT7,GPX1,GTSE1,KRT18,MLPH,NEIL3,PARVB,PON2,SRC,TGM2,TNS3",
trichostatin A,BRD-K68202742,VCAP,10.0,24.0,0.0268,307,444732,,"AKT1,ALDH3A1,CXCL13,GALNT7,GPX1,GTSE1,IGFBP2,KRT18,MLPH,SOX11,TGM2","AKAP12,RNF128"
-666,BRD-A93236127,MCF7,10.0,24.0,0.0268,546,5702041,,"ALDH3A1,CLCA1,EHD3,GALNT7,HPCAL1,LGALS3,MLPH,NRCAM,RAB31,TNS3","CRY1,FBXO11,PAFAH1B1,PPM1B,RNF11,ZMYM2"
-666,BRD-A94756469,MCF7,10.0,24.0,0.0268,473,5702042,,"ALDH3A1,EHD3,FXYD2,GALNT7,LGALS3,MLPH,RAB31,TNS3","CRY1,FBXO11,HNRNPD,PAFAH1B1,RNF11,ZMYM2"
vorinostat,BRD-K81418486,MCF7,10.0,6.0,0.0268,350,5311,DB02546,"ALDH3A1,CST3,GALNT7,GRIA2,MLPH,NINJ1,SPRR1A,TNS3,TP63,ZFP36L2","ACAA2,AKAP12,MOSPD1"
trametinib,BRD-K12343256,A549,3.33,24,0.0268,342,11707110,,"CDT1,E2F8,GTSE1,IGFBP2,MLPH,NEIL3,NPY,TMEM158,TSPAN5","HADHA,SLC6A8"
trichostatin A,BRD-A19037878,HCC515,10.0,24.0,0.0241,411,6376322,,"ALDH3A1,CTPS2,FMO2,GTSE1,KRT18,MLPH,PON2,TGM2,TNS3",FGFR4
trichostatin A,BRD-A19037878,A375,10.0,24.0,0.0241,545,6376322,,"AKT1,CD44,CST3,GTSE1,IGF2BP2,KRT18,PON2,SLC43A3,TGM2,TNS3","MOSPD1,SLC6A8"
Losartan Potassium,BRD-K76205745,RMGI,160.0,6.0,0.0241,148,3961,DB00678,"GRIA2,IGFBP2,LY6H,NCAM1,NRCAM,PEG3,RAI14,SOX11,ZFP36L2","COCH,HNRNPH1"
-666,BRD-K56411643,VCAP,10.0,24.0,0.0241,315,40911229,,"ACACA,AKT1,GALNT7,IGFBP2,KRT18,NXN,POLD2,TGM2","AKAP12,GPRASP1,NQO1,RNF128"
vorinostat,BRD-K81418486,A549,10.0,6.0,0.0241,374,5311,DB02546,"ALDH3A1,CYP1B1,EDN1,GALNT7,KRT18,MLPH,PARVB,PON2,SRC","MOSPD1,RHOBTB3,TMEM135"
trichostatin A,BRD-A19037878,A549,10.0,24.0,0.0241,254,6376322,,"ALDH3A1,EDN1,IGFBP2,MLPH,NRCAM,PON2,TGM2,TNS3",FGFR4
