drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
COT-10b,BRD-K18190982,HT29,44.4,24.0,0.0817,499,73707373,,"C20ORF27,C5ORF13,CASP6,CCNF,GZMK,HMGB3,LSM4,LSM6,MARCKSL1,MCM10,MGST2,MLF1IP,NME4,PRKCA,QDPR,SLC27A2,TGFBR2","CTH,DNAJB9,DUSP5,EMP3,ENO2,HLA-B,HLA-E,P2RX4,SAT1,SLC2A3,SLC7A7,WBP2"
IMD 0354,BRD-K74305673,MCF7,10.0,24.0,0.0784,528,5081913,,"ADI1,ATP6V0E2,C5ORF13,CCNB1,CCNF,CHEK1,KPNA2,LSM4,MCM10,MLF1IP,NME4,OIP5,PHB,POLA2,QDPR,SALL2,SLC27A2","DNAJB9,DUSP5,MKNK2,SAT1,SERTAD2,SQSTM1,ZC3H12A"
-666,BRD-K19295594,A375,11.1,24.0,0.0752,533,227456,,"C20ORF27,CCNB1,CCNF,DTYMK,HMGB3,KPNA2,LAPTM4B,LSM4,LSM6,MARCKSL1,MCM10,MLF1IP,NME4,OIP5,POLA2,QDPR,TGFBR2,TMEM2","CTH,DNAJB9,DUSP5,ENO2,SAT1,SERTAD2,SLC2A3,SQSTM1"
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.0719,508,16219895,,"CCNB1,CCNF,CHEK1,KPNA2,LSM6,MCM10,MLF1IP,NME4,OIP5,POLA2,QDPR","CTH,DNAJB9,DUSP5,EMP3,HLA-E,KYNU,MKNK2,P2RX4,SAT1,SLC2A3,SLC7A7,SQSTM1"
S1030,BRD-K02130563,NEU,10.0,24.0,0.0719,273,6918837,,"BEX1,C5ORF13,CADM1,CDH2,CDK4,CHN1,GAS2,H2AFY2,HMGB3,MAP4K4,MARCKSL1,NME4,PCGF2,PTMA,SALL2,TLE4,TMEM2,TP53I3","CAV2,CIB1,DUSP5,SAT1,SQSTM1"
NICLOSAMIDE,BRD-K35960502,PC3,10.0,24.0,0.0686,304,4477,DB06803,"C5ORF13,LAPTM4B,LRIG1,MARCKSL1,MLF1IP,NME4,SLC27A2","CTH,DNAJB9,DUSP3,DUSP5,HLA-B,HLA-E,HLA-F,JUND,POU2AF1,SAT1,SERTAD2,SLC2A3,SLC7A7,TAP1,ZC3H12A"
IMD 0354,BRD-K74305673,HA1E,10.0,24.0,0.0686,389,5081913,,"ATP6V0E2,BEX1,BZW2,C5ORF13,CCNF,CDH2,LAPTM4B,MARCKSL1,NME4,QDPR,RPS26,SLC27A2,TGFBR2,TMEM2,TP53I3,TPM2","ALOX5,DNAJB9,DUSP5,HLA-E,KYNU,SLC7A7"
COT-10b,BRD-K18190982,HCC515,44.4,24.0,0.0686,408,73707373,,"BZW2,C20ORF27,CCNB1,CCNF,CDH2,KPNA2,LAPTM4B,MCM10,MLF1IP,NME4,PRKCA,TMEM2","CTH,DNAJB9,DUSP5,ENO2,HLA-A,HLA-B,HLA-E,HLA-F,P2RX4,SAT1,SLC2A3"
Importazole,BRD-A02481876,HT29,60.0,24.0,0.0686,462,2949965,,"ACTN1,C5ORF13,CASP6,CDKN2A,GZMK,LSM4,MATN2,MGST2,MLF1IP,NME4,QDPR,SERPINB6,SLC27A2,STK39","AIM2,DNAJB9,DUSP5,HLA-B,HLA-E,MKNK2,RYBP,SLC2A3,SQSTM1,WBP2"
BJM-ctd2-9,BRD-M86331534,HT29,10.0,24.0,0.0686,411,73707397,,"CCNF,CDH2,GZMK,IFRD2,KPNA2,LAPTM4B,NME4,PFAS,RRP15,SERPINB6,SLC27A2,STK39,TGFBR2","DNAJB9,DUSP3,DUSP5,HLA-A,HLA-B,HLA-E,HLA-F,MKNK2,RYBP,SAT1,SQSTM1,TAP1"
BJM-ctd2-9,BRD-M86331534,MCF7,10.0,24.0,0.0686,467,73707397,,"CCNB1,CCNF,CDH2,CHEK1,KPNA2,LAPTM4B,MCM10,MLF1IP,NME4,OIP5,POLA2,SLC27A2","ALOX5,DUSP5,MKNK2,RYBP,SAT1,SLC7A7,SQSTM1,SYNGR3,ZC3H12A"
trichostatin A,BRD-A19037878,NPC,10.0,24.0,0.0686,321,6376322,,"ACTN1,BEX1,C5ORF13,CADM1,CDH2,HMGB3,MAP4K4,MARCKSL1,NME4,PCGF2,PTMA,SLC27A2,TLE4,TMEM2,TP53I3,ZEB2","CAPG,CAV2,DUSP5,HLA-A,HLA-B,SAT1,SGCE,SQSTM1"
89671,BRD-A31107743,HA1E,0.09,24.0,0.0654,517,5353446,,"ACTN1,BEX1,C20ORF103,C5ORF13,CADM1,CASP6,CCNF,LAPTM4B,LEF1,MARCKSL1,MATN2,RPL37A,TGFBR2,TMEM2,TP53I3","AIM2,ALOX5,CAMP,CTH,DNAJB9,KYNU,MOCOS,POU2AF1,SAT1"
