drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
TL_HRAS26,BRD-K01877528,VCAP,10.0,6.0,0.0335,224,49766530,,"APOD,PDLIM3,SOX11,TDO2","ARC,DUSP1,RHOB"
-666,BRD-K24426149,A375,10.0,24.0,0.0335,203,2120347,,"APOD,CXCL13,CXCL14,KRT18,PLP1,SOX11","DUSP1,NQO1"
-666,BRD-K92317137,HCC515,10.0,6.0,0.0335,195,659101,,"CCNB1,FXYD2,PCP4","ARC,DUSP1,NR4A2,RHOB"
homoharringtonine,BRD-A24643465,HT29,10.0,6.0,0.0335,344,16219462,,"CXCL14,IGFBP2,RNASE1,TYRP1","DUSP1,ECD,NR4A2,RHOB"
vorinostat,BRD-K81418486,VCAP,10.0,24.0,0.0335,282,5311,DB02546,"ALDH3A1,BID,CCNB2,SOX11,TDO2,TYRP1",FDFT1
-666,BRD-K92317137,VCAP,10.0,24.0,0.0335,355,659101,,"CD44,CXCL14,EID1,GINS2,PCP4,TDO2","FDFT1,NQO1"
trichostatin A,BRD-A19037878,VCAP,10.0,24.0,0.0335,246,6376322,,"CCNB2,EID1,GINS2,PCP4,SOX11,TDO2","FDFT1,RHOB"
H7270,BRD-A39646320,A375,10.0,6.0,0.0335,233,3571,,"ALDH3A1,APOD,CD44,KRT18,MLPH","FDFT1,GCA,RHOB"
V4877,BRD-A26002865,A549,10.0,24.0,0.0335,282,104830,,"ALDH3A1,BID,FXYD2,MLPH,NRCAM,PDLIM4,SPP1","NR4A2,RHOB"
-666,BRD-K19220233,A549,10.0,24.0,0.0335,291,59588070,,"ALDH3A1,APOD,CXCL14,FXYD2,PRKCZ","GLO1,NR4A2"
V4877,BRD-A26002865,A549,10.0,6.0,0.0335,275,104830,,"ALDH3A1,ENO2,PRKCB,RNASE1,SPP1","DUSP1,ECD,NR4A2,RHOB"
V4877,BRD-A26002865,HEPG2,10.0,6.0,0.0335,214,104830,,"CCNB1,ENO2,PCP4,RNASE1","DUSP1,NR4A2,SOD2"
B4313,BRD-A11007541,MCF7,10.0,6.0,0.0335,257,5475586,,"CILP,FBN2,GFRA1","ARC,DUSP1,NR4A2,RHOB"
vorinostat,BRD-K81418486,A549,10.0,24.0,0.0335,217,5311,DB02546,"ALDH3A1,CD44,CXCL14,IGFBP2,MLPH","FDFT1,RHOB,WDTC1"
-666,BRD-K12867552,A549,10.0,6.0,0.0335,281,11749858,,"ALDH3A1,APOD,CCNB1,CD44,MLPH","FDFT1,WDTC1"
-666,BRD-K76674262,ASC,10.0,24.0,0.0335,449,285033,,"BGN,ENO2,LTBP2,MLPH,RNASE1","DUSP1,NR4A2,RFC2,SOD2"
