drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
-666,BRD-K66792149,HT29,11.1,24.0,0.0541,370,17748,,"FAM117A,TP53","CLIP1,EGFR,JUN,MALL,MICAL2,SPAG9,TIPARP"
Strophanthidin,BRD-K84595254,HCC515,10.0,24.0,0.0473,388,6185,,"ALDH3A1,GALNT14","HBP1,JUN,KIDINS220,SPAG9,TIPARP"
Narciclasine,BRD-K06792661,HCC515,10.0,24.0,0.0473,458,72376,,"A2M,ALDH3A1,ITGA4,LRP8","EGFR,HBP1,JUN,SPAG9"
Narciclasine,BRD-K06792661,HT29,10.0,24.0,0.0473,475,72376,,LRP8,"GAA,GJA1,HBP1,JUN,KIDINS220,SPAG9,TIPARP"
Narciclasine,BRD-K06792661,PC3,10.0,24.0,0.0473,511,72376,,"ALDH3A1,GCHFR,LRP8","GJA1,HBP1,JUN,KIDINS220,SPAG9,TIPARP"
vorinostat,BRD-K81418486,PC3,10.0,24.0,0.0405,494,5311,DB02546,"ALDH3A1,GCHFR","ANKRD46,FBLN5,KIDINS220,KIF1B,SECISBP2L,TIPARP"
EMETINE,BRD-A25687296,HCC515,10.0,24.0,0.0405,360,5702048,,"ITGA4,LRP8","EGFR,HBP1,JUN,SPAG9,TIPARP"
AMSACRINE,BRD-K98490050,HCC515,10.0,24.0,0.0405,267,3926765,,"A2M,ALDH3A1,ITGA4,LRP8","EGFR,JUN,TIPARP"
OUABAIN,BRD-A68930007,HT29,10.0,6.0,0.0405,176,12420,,"A2M,SULF1","EGFR,JUN,SPAG9,TIPARP"
TG101348,BRD-K12502280,MCF7,11.1,24.0,0.0405,436,16722836,,"CDT1,NUP98","ANKRD46,HBP1,ITGB5,JUN,PLCB4"
vorinostat,BRD-K81418486,PC3,10.0,24.0,0.0405,461,5311,DB02546,ALDH3A1,"ANKRD46,EXT1,JUN,KIF1B,PTPRG,TIPARP"
-666,BRD-K92317137,PC3,10.0,6.0,0.0405,334,659101,,SULF1,"GJA1,HBP1,JUN,SPAG9,TIPARP"
7b-cis,BRD-K61829047,VCAP,10.0,6.0,0.0405,250,44589607,,"CHST2,ZNF318","HBP1,JUN,SPAG9,WWP1"
V4877,BRD-A26002865,ASC,10.0,24.0,0.0405,370,104830,,"ITGA4,RASSF2","EGFR,JUN,KIDINS220,SPAG9,TIPARP"
-666,BRD-A34806832,HT29,10.0,6.0,0.0405,225,9828429,,"A2M,SULF1","EGFR,JUN,MALL,SPAG9,TIPARP"
-666,BRD-A93236127,HT29,10.0,6.0,0.0405,196,5702041,,"A2M,TP53","EGFR,JUN,SPAG9,TIPARP"
-666,BRD-K84595254,HT29,10.0,6.0,0.0405,242,6185,,"A2M,SULF1,TP53","EGFR,JUN,MALL,TIPARP"
-666,BRD-K91145395,MCF7,10.0,24.0,0.0405,278,454217,,"FMOD,SULF1,TP53","EGFR,ITGB5,MALL,MICAL2"
GSK-690693,BRD-A87137733,A375,3.33,24,0.0405,121,16048642,,"A2M,SULF1","EGFR,GJA1,JUN,MICAL2"
geldanamycin,BRD-A19500257,SKBR3,0.37,24,0.0405,194,13017911,,"LRP8,SULF1","DEPTOR,EGFR,PHACTR2,PLCB4"
QL-X-138,BRD-K72636697,MCF10A,10,24,0.0405,321,73707530,,ITGA4,"EGFR,GAA,HBP1,MYLK,PJA2"
ZSTK-474,BRD-K63068307,PC3,10,24,0.0405,259,11647372,,COTL1,"DEPTOR,GAA,ITGB5,PLCB4,SECISBP2L"
QL-X-138,BRD-K72636697,SKBR3,10,24,0.0405,326,73707530,,"COTL1,ITGA4,LRP8","HBP1,PLCB4,SECISBP2L,TIPARP"
ARP 101,BRD-K73395020,HCC515,10.0,24.0,0.0338,353,11292680,,ALDH3A1,"EXT1,HBP1,JUN,SPAG4"
Digoxigenin,BRD-K18619710,HCC515,10.0,24.0,0.0338,328,15478,,"A2M,SULF1","KIDINS220,PHACTR2,SPAG9"
-666,BRD-K80348542,HCC515,10.0,24.0,0.0338,412,442195,,"A2M,ITGA4,LRP8","EGFR,JUN,SPAG9,TIPARP"
Anisomycin,BRD-K91370081,HCC515,10.0,24.0,0.0338,411,253602,,"A2M,ITGA4,LRP8,PLXNC1","HBP1,JUN,SPAG9,TIPARP"
NORETHYNODREL,BRD-A00758722,VCAP,10.0,24.0,0.0338,277,5702095,,"LRP8,TP53","EGFR,GJA1,TIPARP"
OUABAIN,BRD-A68930007,HCC515,10.0,24.0,0.0338,407,12420,,ALDH3A1,"HBP1,JUN,SPAG9,TIPARP"
Proscillaridin A,BRD-A34806832,HT29,10.0,6.0,0.0338,159,9828429,,"SULF1,TP53","JUN,MALL,TIPARP"
trichostatin A,BRD-A19037878,VCAP,10.0,6.0,0.0338,307,6376322,,"A2M,SULF1,TP53","SPAG9,TIPARP"
PAC 1,BRD-K50841342,A375,10.0,24.0,0.0338,313,5344054,,,"EGFR,JUN,MICAL2,PLCB4,SPAG4"
PERIPLOCYMARIN,BRD-A45333398,HT29,10.0,24.0,0.0338,243,6708762,,A2M,"EGFR,MALL,PHACTR2,TIPARP"
cercosporin,BRD-A78360835,HT29,10.0,24.0,0.0338,300,2674,,,"EGFR,GJA1,JUN,SPAG9,TIPARP"
wortmannin,BRD-A75409952,PC3,10.0,24.0,0.0338,340,5691,,"CDT1,LRP8","DEPTOR,GJA1,HBP1,TIPARP"
LY-2183240,BRD-K37865504,A375,10.0,24.0,0.0338,253,11507802,,,"EXT1,GJA1,JUN,MALL,MICAL2"
ABT-751,BRD-K91623615,A375,10.0,24.0,0.0338,194,3035714,,TP53,"EXT1,GJA1,JUN,MICAL2"
PERHEXILINE MALEATE,BRD-A19633847,HA1E,10.0,6.0,0.0338,212,5284439,,,"HBP1,JUN,MICAL2,TIPARP,YES1"
"""""""Ingenol 3, 20-dibenzoate""""""",BRD-A52650764,HCC515,10.0,24.0,0.0338,413,5225086,,"CDT1,SULF1","EGFR,ITGB5,SPAG4,TIPARP"
PP-110,BRD-K03618428,HT29,22.2,24.0,0.0338,486,24905203,,"CDT1,COTL1,LRP8,NUP98","HBP1,PLCB4"
Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HT29,80.0,24.0,0.0338,490,5280436,,"SULF1,TP53","HBP1,JUN,SECISBP2L,SPAG9"
PLX-4032,BRD-K56343971,HT29,10.0,24.0,0.0338,393,42611257,,"LRP8,NUP98","CEP70,GJA1,HBP1,PLCB4"
CAY10594,BRD-K61662457,HT29,20.0,24.0,0.0338,476,56588033,,"CDT1,COTL1","HBP1,MICAL2,PJA2"
YM-155,BRD-K76703230,HT29,0.31,24.0,0.0338,375,10126189,,,"EGFR,GJA1,HBP1,MICAL2,PLXNA2"
BMS-536924,BRD-K34581968,MCF7,11.1,24.0,0.0338,431,11353973,,"CDT1,LRP8","GAA,HBP1,ITGB5,PLCB4,TIPARP"
KU-0063794,BRD-K67566344,MCF7,10.0,24.0,0.0338,345,16736978,,COTL1,"DEPTOR,GAA,HBP1,ITGB5"
AZD8055,BRD-K69932463,MCF7,10.0,24.0,0.0338,385,25262965,,"COTL1,LRP8","DEPTOR,HBP1,ITGB5,PLCB4"
KU 0060648 trihydrochloride,BRD-K09499853,MCF7,10.0,6.0,0.0338,292,11964036,,"ALDH3A1,NUP98","CDH13,HBP1,TIPARP"
NSC 23766,BRD-A80213327,MDST8,160.0,6.0,0.0338,227,409805,,"ALDH3A1,PLXNC1","JUN,TIPARP,YES1"
CYT997,BRD-K23363278,PC3,1.0,24.0,0.0338,135,11351021,,SULF1,"EXT1,GJA1,JUN,MICAL2"
