drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.0711,508,16219895,,"ANP32E,ATAD2,CDT1,FAM111A,FBXO5,PARP1,POLD1,UNG","CDKN1A,CREB3L2,IRS2,KLF6,LAMB3,MICAL2,SLC1A4"
C8273,BRD-K25504083,MCF7,10.0,24.0,0.0664,340,44634700,,"ATAD2,UNG,VCAM1","ANXA3,CDKN1A,DUSP10,KIDINS220,KLF6,LAMB3,MICAL2,NEDD4L,PALLD,PDGFA,TGFB1I1,WLS"
PERHEXILINE MALEATE,BRD-A19633847,A375,10.0,24.0,0.0616,389,5284439,,"ANP32E,ATAD2,CDT1,FAM111A,FBXO5,USP1","CDKN1A,ETS2,IRS2,MEST,SPRED2,SPRY1,TSC22D1"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.0616,426,5284439,,"ANP32E,ATAD2,FAM111A,ITGA4,PARP1,UNG","CDKN1A,CREB3L2,IRS2,KLF6,LAMB3,NDEL1,PRSS23"
CAY10594,BRD-K61662457,HT29,20.0,24.0,0.0616,476,56588033,,"ATAD2,CDT1,FAM111A,PARP1,POLD1,UNG","CDKN1A,CPD,CREB3L2,IRS2,MICAL2,NDEL1,SLC1A4,SORBS2"
Narciclasine,BRD-K06792661,PC3,10.0,24.0,0.0616,511,72376,,"ALDH3A1,GCHFR,UNG","ADAMTS1,CDKN1A,DUSP10,DUSP8,EFNB2,ETS2,GJA1,KIDINS220,KLF6,SPRY1,TSC22D1,TSC22D2"
BMS-754807,BRD-K13049116,A375,10.0,24.0,0.0569,373,24785538,,"ANP32E,ATAD2,CDT1,FAM111A,FBXO5,POLD1","CDKN1A,ETS2,SAMD4A,SLC1A4,TSC22D1,WLS"
-666,BRD-K19295594,A375,11.1,24.0,0.0569,533,227456,,"ANP32E,ATAD2,CDT1,FAM111A,FBXO5,PARP1,POLD1,UNG,USP1","CDKN1A,KLF6,LAMB3,MICAL2,MMP12,PDGFA"
DG-041,BRD-K33272502,A375,40.0,24.0,0.0569,413,11296282,,"ANP32E,ATAD2,CDT1,FAM111A,FBXO5,POLD1,UNG,USP1","CDKN1A,MEST,MICAL2,PDGFA"
Narciclasine,BRD-K06792661,A549,10.0,6.0,0.0569,451,72376,,"ALDH3A1,SNN,UNG","ADAMTS1,ANXA3,CDKN1A,DUSP10,DUSP8,IRS2,KLF6,NEDD4L,SPRY1,TSC22D1,TSC22D2"
phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,HCC515,10.0,6.0,0.0569,253,4792,,UNG,"CDKN1A,EFNB2,ETS2,KLF6,LAMB3,MALL,MICAL2,MMP12,NEDD4L,PDGFA,TJP2"
-666,BRD-A62809825,HT29,10.0,24.0,0.0569,512,5353993,,"ATAD2,FAM111A,PARP1,POLD1,UNG,VCAM1","CDKN1A,CREB3L2,GJA1,IRS2,LAMB3,NDEL1,SLC1A4"
YM-155,BRD-K76703230,HT29,0.31,24.0,0.0569,375,10126189,,"ANP32E,FAM111A,PARP1,UNG","ANXA3,CDKN1A,GJA1,KLF6,LAMB3,MICAL2,NEDD4L,PRSS23"
phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,24.0,0.0569,456,4792,,"ATAD2,BCL2,CDT1,FAM111A,FBXO5","CREB3L2,EFNB2,ETS2,ITGA6,KLF6,LAMB3,MALL,MMP12,QSOX1,TSC22D1"
-666,BRD-K86574132,MCF7,48.0,24.0,0.0569,471,7326481,,"ACACB,ATAD2,BCL2,FAM111A,FBXO5,UNG","ANXA3,AUTS2,CDKN1A,ETS2,KLF6,PDGFA"
QL-XII-47,BRD-K99252563,LNCAP,1.11,24,0.0569,397,71748056,,"ATAD2,ITGA4,PARP1,UNG","CDKN1A,IRS2,KLF6,PALLD,PBX1,PDGFA,SAMD4A,WNT5A"
THAPSIGARGIN,BRD-K69023402,HT29,10.0,24.0,0.0521,361,446378,,"ATAD2,BAZ1A,CDT1,FAM111A,POLD1,UNG","CDKN1A,CREB3L2,IRS2,PRSS23,SLC1A4,SORBS2"
