drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.1897,508,16219895,,"BUB1,CCNB1,CCNF,CENPF,CHEK1,CTPS,HMMR,HN1,KIAA0101,KPNA2,MCM10,MCM4,NME1,NME4,OIP5,POLA2,POLE2,QDPR,RANBP1,RNASEH2A,SPC25,TIMELESS,TRIP13","ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,HLA-E,LDLR,MKNK2,NEU1,NFE2L1,OPTN,P2RX4,RHOQ,RRAGC,SCD,SLC7A11,SLC7A7,SQSTM1,TPP1,WARS"
-666,BRD-A62809825,A375,10.0,24.0,0.1724,464,5353993,,"ADI1,BUB1,C20ORF27,CCNB1,CCNF,CENPF,DTYMK,HMMR,KIAA0101,KPNA2,MARCKSL1,MCM10,MCM4,NME4,OIP5,PAFAH1B3,POLE2,QDPR,RANBP1,RNASEH2A,SPC25,SYNCRIP,TRIP13,TUBG1","ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,HAX1,INHBE,MOCOS,OPTN,SLC38A1,SLC7A11,SQSTM1,TPP1,TTC17,WARS"
niguldipine hydrochloride,BRD-A43331270,HT29,10.0,24.0,0.1681,422,71317558,,"BUB1,CCNB1,CCNF,CENPF,CTPS,HMMR,KIAA0101,KPNA2,MCM10,MCM4,NME1,OIP5,POLA2,POLE2,RANBP1,RNASEH2A,SPC25,TIMELESS,TRIP13,TUBG1","ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,INHBE,JUND,LDLR,NEU1,NFE2L1,RHOQ,RRAGC,SCD,SLC38A1,SLC7A11,SQSTM1,TPP1,WARS,WBP2"
GW405833 hydrochloride,BRD-K10705233,HT29,40.0,24.0,0.1681,464,9911463,,"BUB1,CCNF,CENPF,CHEK1,CTPS,HMMR,KIAA0101,KPNA2,MARCKSL1,MCM10,MCM4,NME1,NME4,OIP5,PA2G4,POLA2,RANBP1,RNASEH2A,SCML1,SPC25,TIMELESS,TRIP13","CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,INHBE,LDLR,NEU1,P2RX4,PDGFRL,PIR,RHOQ,RRAGC,SLC7A11,SQSTM1,TPP1,WARS"
MK-2206,BRD-K68065987,HT29,10.0,24.0,0.1681,393,24964624,,"BOP1,BUB1,CCNF,CENPF,CTPS,HMMR,HN1,KIAA0101,KPNA2,LSM4,MCM10,MCM4,NME1,OIP5,POLA2,POLE2,RANBP1,RNASEH2A,RRS1,SPC25,TIMELESS,TRIP13","ASS1,CCPG1,CTDSP2,DDIT3,DNAJB9,HLA-E,LDLR,NEU1,OPTN,RHOQ,RRAGC,SCD,SLC38A1,SLC7A11,SQSTM1,SWAP70,TPP1,WARS"
Tyrphostin AG 1478,BRD-K68336408,HT29,56.78,24.0,0.1638,505,2051,,"BOP1,BUB1,CCNB1,CCNF,CENPF,CTPS,HMMR,HN1,KIAA0101,KPNA2,MARCKSL1,MCM10,MCM4,NME1,NME4,OIP5,PA2G4,POLA2,POLE2,POLR2L,RANBP1,SPC25,SYNCRIP,TIMELESS,TRIP13","ARL1,CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,NEU1,NFE2L1,OPTN,RHOQ,RRAGC,SLC7A11,SQSTM1,TPP1,WARS"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.1595,426,5284439,,"BUB1,CCNF,CENPF,DTYMK,HMMR,HN1,KIAA0101,LSM4,MARCKSL1,MCM10,MCM4,NME1,NME4,OIP5,POLE2,POLR2L,RANBP1,RNASEH2A,SEPW1,SPC25,STRA13,TRIP13","CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,HLA-B,HLA-E,KLF9,LDLR,NEU1,OPTN,RRAGC,SLC7A11,SQSTM1,TPP1,WARS"
Akt inhibitor IV,BRD-K28296557,HT29,10.0,24.0,0.1595,429,5719375,,"CCNF,CTPS,KIAA0101,MARCKSL1,MCM10,MCM4,MGST2,NME1,NME4,OIP5,POLE2,POLR2L,RANBP1,SEPW1,SMYD2,SPC25,TRIP13","CCPG1,CEBPG,CTDSP2,DDIT3,DNAJB9,GOLGB1,IL6,LDLR,MKNK2,NEU1,NFE2L1,OPTN,P2RX4,RHOQ,RRAGC,SLC7A11,SQSTM1,TPP1,WARS,WBP2"
-666,BRD-A18763547,A375,10.0,24.0,0.1552,425,2729027,,"ACTN1,BUB1,CCNF,CDH2,CENPF,HN1,KIAA0101,LSM4,MARCKSL1,MCM10,MGST2,NME4,OIP5,PAFAH1B3,POLA2,POLE2,PTPLB,RNASEH2A,SPC25,TIMELESS,TRIP13","ASS1,DDIT3,DNAJB9,JUND,MYO1D,OPTN,P2RX4,RRAGC,SLC38A1,SLC7A11,SLC7A7,SOX11,SQSTM1,TPP1,WARS"
COT-10b,BRD-K18190982,HT29,44.4,24.0,0.1552,499,73707373,,"BUB1,C20ORF27,C5ORF13,CCNF,CTPS,HMGB3,HMMR,KIAA0101,LSM4,MARCKSL1,MCM10,MGST2,NME1,NME4,PAFAH1B3,POLE2,QDPR,RRS1,SPC25,SYNCRIP,TRIP13","CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,HLA-B,HLA-E,KLF9,LDLR,NEU1,OPTN,P2RX4,RHOQ,RRAGC,SLC7A11,SLC7A7,TPP1,WBP2"
CAM-9-027-3,BRD-K45399554,HT29,10.0,24.0,0.1552,438,49849912,,"BUB1,CCNB1,CENPF,CHEK1,CTPS,HMMR,HN1,KIAA0101,KPNA2,MCM10,MCM4,NME1,OIP5,POLA2,POLE2,RANBP1,RNASEH2A,SPC25,TIMELESS,TRIP13","ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,LDLR,MKNK2,NEU1,RHOQ,RRAGC,SCD,SLC7A11,SQSTM1,TPP1,WARS"
"3,5-dichloro-2-hydroxy-N-(2-methoxy-5-phenylphenyl)benzenesulfonamide",BRD-K43620258,PC3,80.0,24.0,0.1552,468,16747776,,"BUB1,C20ORF27,C5ORF13,CCNB1,CCNF,CENPF,CHEK1,DTYMK,HMMR,HN1,KIAA0101,KPNA2,LSM4,MARCKSL1,MCM10,MCM4,NME4,OIP5,POLE2,POLR2L,RANGAP1,RNASEH2A,SPC25,STIP1,STRA13,TRIP13","ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,IL6,LDLR,NEU1,RYBP,SLC7A11,SQSTM1,WARS"
NCGC00185684-02,BRD-K37940862,HT29,10.0,24.0,0.1552,365,46930969,,"BUB1,CCNF,CENPF,HMMR,KIAA0101,MARCKSL1,MCM10,MCM4,NME4,OIP5,POLE2,POLR2L,RANBP1,SPC25,STRA13,TRIP13","ASS1,BTN3A3,CCPG1,CEBPG,DDIT3,DNAJB9,GOLGB1,HLA-A,HLA-B,HLA-E,IFIH1,INHBE,KLF9,LDLR,OPTN,RARRES3,SLC7A11,SQSTM1,TAP1,TMEM140,WARS"
WH-4-025,BRD-U60236422,HT29,10,24,0.1552,368,,,"BOP1,BUB1,CCNF,CHEK1,EMG1,KIAA0101,MCM10,MCM4,NME1,OIP5,PA2G4,PFAS,POLA2,POLD2,POLE2,RANBP1,RANGAP1,RNASEH2A,RRS1,SPC25,TRIP13,TUBG1","ASS1,CAMLG,CCPG1,DDIT3,DNAJB9,HLA-E,MKNK2,NEU1,NFE2L1,OPTN,RHOQ,RRAGC,SCD,TPP1"
radicicol,BRD-A39996500,MCF10A,10,24,0.1552,431,5311380,,"ACTN1,BOP1,BUB1,C20ORF27,C5ORF13,CCNF,HMGB3,HMMR,KIAA0101,MCM10,MCM4,NME1,OIP5,PA2G4,PFAS,POLD2,POLE2,PUS7,RANBP1,RBM3,RRS1,SYNCRIP,TRIP13","CCPG1,DDIT3,DNAJB9,GOLGB1,NEU1,NFE2L1,PIR,RHOQ,RRAGC,SCD,SLC7A11,SLC7A7,SQSTM1"
-666,BRD-K19295594,A375,11.1,24.0,0.1509,533,227456,,"BUB1,C20ORF27,CCNB1,CCNF,CENPF,DTYMK,HMGB3,HMMR,HN1,KIAA0101,KPNA2,LSM4,MARCKSL1,MCM10,MCM4,NME4,OIP5,PAFAH1B3,POLA2,POLE2,POLR2L,QDPR,RNASEH2A,SPC25,TIMELESS,TRIP13,TUBG1","ASS1,DDIT3,DNAJB9,GOLGB1,MYO1D,OPTN,RRAGC,SLC7A11,SQSTM1,TPP1"
IMD 0354,BRD-K74305673,HCC515,10.0,24.0,0.1509,446,5081913,,"BUB1,CCNB1,CENPF,CTPS,GINS4,HMMR,HN1,KIAA0101,KPNA2,MCM10,MCM4,OIP5,POLA2,POLE2,PTMA,RANBP1,SPC25,TIMELESS,TRIP13,TUBG1","ASS1,CCPG1,CEBPG,CTSB,DDIT3,DNAJB9,LDLR,NEU1,NFE2L1,P2RX4,RHOQ,RRAGC,SCD,SLC7A11,SLC7A7,SQSTM1,TPP1"
Pimozide,BRD-K01292756,HT29,10.0,24.0,0.1509,373,16362,DB01100,"BUB1,CCNF,CENPF,CHEK1,CTPS,HN1,KPNA2,MCM10,MCM4,NME1,OIP5,POLA2,POLR2L,RANBP1,SPC25,TRIP13","ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,GDF15,LDLR,LSS,MKNK2,NEU1,NFE2L1,OPTN,RHOQ,RRAGC,SCD,SLC38A1,SLC7A11,SLC7A7,WARS"
COT-10b,BRD-K18190982,HCC515,44.4,24.0,0.1466,408,73707373,,"BOP1,BUB1,C20ORF27,CCNB1,CCNF,CDH2,CENPF,CTPS,HMMR,HN1,KIAA0101,KPNA2,MCM10,MCM4,NME1,NME4,SPC25,TRIP13","CEBPG,DDIT3,DNAJB9,GOLGB1,HLA-A,HLA-B,HLA-E,LDLR,NEU1,NFE2L1,OPTN,P2RX4,RHOQ,RRAGC,SCD,SLC7A11,TPP1"
