drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
PENFLURIDOL,BRD-K15409150,VCAP,10.0,24.0,0.0368,275,33630,,"SMS,ZC3HAV1","CCPG1,CDKN1A,CREB3L2,FNDC3B,JUN,MBNL2,PJA2,SAMD4A,TIPARP,TNS1,TRIB3,WIPI1,WWOX"
-666,BRD-A93236127,HT29,10.0,6.0,0.0368,196,5702041,,"A2M,NEFH,TP53","ARFIP2,CDKN1A,CTNNAL1,EGFR,FNDC3B,JUN,KLF6,SPAG9,STX12,TIPARP,TSC22D2"
-666,BRD-K06009608,VCAP,10.0,24.0,0.0368,353,44506826,,"CDT1,F12,LRP8,TP53","FNDC3B,ITGA6,JUN,KLF6,MME,PAM,PLAU,PXDN,TIPARP,WIPI1"
WH-4-025,BRD-U60236422,HT29,10,24,0.0368,368,,,"CDT1,COTL1,CXCR4,POLD1","ATP9A,CCPG1,CDKN1A,CEP70,DEPTOR,DMXL2,DUSP3,HBP1,MME,PJA2,PLCB4,TMC5,VAT1,WIPI1"
vorinostat,BRD-K81418486,WSUDLCL2,10.0,6.0,0.0342,244,5311,DB02546,"ALDH3A1,BCL2,EVL,IL7R,LSP1,TRAF1,ZNF318","APP,CDKN1A,MICAL2,PLCB4,TNS1,VAT1,WIPI1"
Norethynodrel,BRD-K80334323,VCAP,10.0,24.0,0.0316,283,6231,,"CYFIP2,F12,TP53","CCPG1,CDKN1A,CLIC5,GJA1,ITGA6,MBNL2,TIPARP,TMC5,WIPI1"
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.0316,508,16219895,,"CDT1,POLD1","CCPG1,CDKN1A,CREB3L2,FNDC3B,HBP1,JUN,KLF6,MICAL2,PJA2,TRIB3,VAT1,WIPI1"
CAY10594,BRD-K61662457,HT29,20.0,24.0,0.0316,476,56588033,,"CDT1,COTL1,POLD1","CCPG1,CDKN1A,CREB3L2,FNDC3B,HBP1,MICAL2,PJA2,TRIB3,WIPI1"
phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,24.0,0.0316,456,4792,,"BCL2,CDT1,CYFIP2,TP53","BSG,CREB3L2,CTNNAL1,EFNB2,EGFR,FNDC3B,ITGA6,ITGB5,KLF6,MALL,PLAU"
Narciclasine,BRD-K06792661,SKMEL28,10.0,6.0,0.0316,259,72376,,"CDK5R1,CYFIP2,SMS","EFNB2,HBP1,JUN,KLF6,MBNL2,PLTP,SPRY1,TIPARP,TSC22D2"
HDAC6 inhibitor ISOX,BRD-K69840642,THP1,10.0,6.0,0.0316,294,24951314,,"BCL2,IL7R","ANKRD46,APP,CDKN1A,JUN,PLAU,PXDN,SAMD4A,SPAG9,TIPARP,WIPI1"
BI 2536,BRD-K64890080,VCAP,10.0,6.0,0.0316,414,11364421,,ALDH3A1,"BSG,CDKN1A,CLIC5,GALC,HBP1,ITGA6,JUN,KLF6,PLAU,PXDN,SPAG9,TIPARP,WIPI1"
NCGC00183690-01,BRD-A43126523,A375,10.0,24.0,0.0316,285,44142346,,,"CDH13,CDKN1A,EGFR,GALC,GJA1,JUN,MICAL2,MME,PLAU,SAMD4A,STK38L,TRIB3"
-666,BRD-K23478508,HT29,10.0,6.0,0.0316,175,2724385,,"A2M,LAMP3,LAPTM5,NEFH,SULF1","ARFIP2,CDKN1A,EGFR,JUN,KLF6,MALL,TIPARP,TSC22D2"
-666,BRD-K91145395,MCF7,10.0,24.0,0.0316,278,454217,,"BCL2,FMOD,SULF1,TP53","CDKN1A,CTNNAL1,EGFR,ITGA6,ITGB5,KLF6,MALL,MICAL2,MME,PLAU"
PD-0325901,BRD-K49865102,HT29,0.04,24,0.0316,307,9826528,,"CDT1,CXCR4","ATP9A,CCPG1,CLIC5,DCUN1D4,HBP1,JUN,MME,PLCB4,TMC5,TNS1,WIPI1"
"""""""Ingenol 3, 20-dibenzoate""""""",BRD-A52650764,HCC515,10.0,24.0,0.0289,413,5225086,,"CDT1,POLD1,SULF1","CDKN1A,EFNB2,EGFR,ITGB5,PAM,PLAU,SPAG4,TIPARP,WIPI1,WWTR1"
Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HT29,80.0,24.0,0.0289,490,5280436,,"F12,SULF1,TP53","CDKN1A,CREB3L2,HBP1,JUN,PLAU,SECISBP2L,SPAG9,TRIB3,VAT1,WIPI1"
Ro 28-1675 ?,BRD-K21672174,HT29,160.0,24.0,0.0289,520,9886086,,CDT1,"CCPG1,CDKN1A,CREB3L2,FNDC3B,JUN,PJA2,PLAU,SPAG9,TRIB3,WIPI1"
B675700.cdx,BRD-K88510285,THP1,0.04,6.0,0.0289,200,387447,,"BCL2,CXCR4,IKZF1,PRKCB,RAC2","CDKN1A,GJA1,IPO13,JUN,MICAL2,SLC7A8,TRIB3"
S1130,BRD-K24681473,HT29,10.0,6.0,0.0289,197,10126189,,PRKCB,"CDKN1A,CLIC5,EFNB2,EGFR,ITGA6,JUN,KLF6,PLAU,TIPARP,TSC22D2"
-666,BRD-K91370081,NEU,10.0,24.0,0.0289,316,253602,,"CCL5,CXCR4,EVL,SNN,SULF1","CTNNAL1,DUSP3,EGFR,FNDC3B,JUN,MBNL2,PJA2"
-666,BRD-A94756469,HT29,10.0,6.0,0.0289,196,5702042,,"ALDH3A1,FNBP1,NEFH","CDKN1A,EGFR,FNDC3B,JUN,KLF6,STX12,TIPARP,TSC22D2"
