drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
trichostatin A,BRD-A19037878,MCF7,10.0,24.0,0.0638,459,6376322,,"ALDH3A1,CCNB2,CXCL14,GINS2,KRT18,MLPH,PDLIM4,UCK2",DUSP1
vorinostat,BRD-K81418486,MCF7,10,24,0.0638,370,5311,DB02546,"ALDH3A1,CCNB2,CXCL14,GINS2,MLPH,PDLIM4,UCK2","DUSP1,GLO1,WDTC1"
trichostatin A,BRD-A19037878,HCC515,10.0,24.0,0.0567,411,6376322,,"ALDH3A1,CCNB2,GINS2,KRT18,MLPH,STIL,UCK2","RHOB,WDTC1"
vorinostat,BRD-K81418486,HCC515,10.0,6.0,0.0567,310,5311,DB02546,"ALDH3A1,CCNB2,GRIA2,MLPH","FDFT1,NDUFV1,RHOB,WDTC1"
trichostatin A,BRD-A19037878,PC3,10.0,24.0,0.0567,403,6376322,,"ALDH3A1,CCNB2,CXCL14,KRT18,MLPH,PDLIM4","FDFT1,RHOB"
vorinostat,BRD-K81418486,CL34,11.1,6.0,0.0567,213,5311,DB02546,"CXCL14,GRIA2,TYRP1,UCK2","DUSP1,NQO1,NR4A2,RHOB"
vorinostat,BRD-K81418486,HCC515,10.0,24.0,0.0567,478,5311,DB02546,"ALDH3A1,CCNB1,CCNB2,GINS2,KRT18,MLPH,UCK2","FDFT1,HIBCH,RHOB"
TG101348,BRD-K12502280,MCF7,11.1,24.0,0.0567,436,16722836,,"CCNB2,CILP,GINS2,PSRC1,STIL","DUSP1,RHOB,WDTC1"
vorinostat,BRD-K81418486,MCF7,11.1,6.0,0.0567,369,5311,DB02546,"ALDH3A1,CXCL14,GRIA2,MLPH,TYRP1,UCK2","FDFT1,WDTC1"
trichostatin A,BRD-A19037878,VCAP,10.0,6.0,0.0567,461,6376322,,"ALDH3A1,CXCL14,MLPH,PDLIM4","ACAA2,FDFT1,HIBCH,NR4A2"
-666,BRD-K13810148,MCF7,10.0,24.0,0.0567,423,9804992,,"ALDH3A1,GFRA1,GINS2,KRT18,MLPH,UCK2","DUSP1,FDFT1,WDTC1"
trichostatin A,BRD-A19037878,MCF7,10.0,24.0,0.0567,349,6376322,,"ALDH3A1,CCNB2,CXCL14,GINS2,KRT18,MLPH","DUSP1,WDTC1"
-666,BRD-K64606589,MCF7,10.0,24.0,0.0567,449,,,"ALDH3A1,CXCL14,GFRA1,GINS2,MLPH","FDFT1,RHOB,WDTC1"
H7270,BRD-A39646320,MCF7,10.0,6.0,0.0567,335,3571,,"ALDH3A1,CXCL14,GRIA2,MLPH,PDLIM4","FDFT1,RHOB,WDTC1"
