drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
-666,BRD-A30437061,SKB,10.0,24.0,0.0219,272,2538,,"FERMT2,FILIP1L,MBNL1,MGLL,PDLIM5,ZEB1","CLU,IL1RN,SFN,TMEM158"
-666,BRD-A94756469,A549,10.0,24.0,0.0219,284,5702042,,"ASB13,BMPR1A,C6ORF62,CEP68,IQGAP1,RAD54B,RAP2A","NKX2-1,SPRY1,TERF2IP"
-666,BRD-A94756469,SKB,10.0,24.0,0.0219,243,5702042,,"CAP2,LYPLA1,MGLL,PKIA","CRABP1,HMOX1,IL1RN,PLA2G7,PLBD1,SLC3A2"
-666,BRD-A52530684,A549,10.0,6.0,0.0219,220,6916127,,"HOMER1,PDLIM5,SRSF2,SYNJ2,VEZF1","CLU,GDE1,PLBD1,SNX10,WLS"
vorinostat,BRD-K81418486,HT29,10.0,6.0,0.0219,353,5311,DB02546,"C6ORF62,CBFB,CTSO,IRAK1,PHIP,SEMA3C,SP3","ANXA5,HMOX1,ROGDI,SERPINE2,WDTC1"
trichostatin A,BRD-A19037878,MCF7,10.0,6.0,0.0219,331,6376322,,"C6ORF62,CBFB,IRAK1,PHIP,SEMA3C","ALAS1,CLU,HMOX1,SERPINE2,TMEM158,WLS"
JNK-IN-5A,BRD-K76401790,MCF7,1.11,24,0.0219,230,,,"CCNE2,STAG2","CD27,CLU,PHF1,PLBD1,SFN,TBC1D4,TMEM158"
radicicol,BRD-A39996500,HS578T,10,24,0.0219,205,5311380,,"FERMT2,LMCD1,PDLIM5,PPFIBP1","HMOX1,HOXC6,HSPD1,YKT6"
KIN001-043,BRD-K44100512,HA1E,10,24,0.0219,189,,,"CAP2,KDM3A,MBNL1,MYBL1,SEMA3C","HMOX1,PYCR1,SHMT2,SLC3A2"
sorafenib,BRD-K23984367,HA1E,10,24,0.0219,211,406563,,"CCNE2,MYBL1,SEMA3C","ALAS1,ECM1,HMOX1,PYCR1,SHMT2,SLC3A2"
withaferin-a,BRD-K88378636,MCF10A,10,24,0.0219,202,265237,,"CAB39,PDLIM5","APOD,CAPG,ECM1,FEZ1,HMOX1,SFN"
PF-562271,BRD-K99545815,MCF7,10,3,0.0219,183,11713159,,"PNMA1,SYNJ2,VEZF1,ZEB1","ANXA5,CD81,ECM1,OSBPL10,SERPINE2"
vorinostat,BRD-K81418486,HA1E,10,24,0.0219,409,5311,DB02546,"C6ORF62,CBFB,FERMT2,IRAK1,MAP4K5,MBNL1,PDZRN3,SEMA3C,SLC1A3,SRSF2",CRABP1
JAK3 Inhibitor VI,BRD-K04546108,HA1E,10.0,24.0,0.0192,362,9947841,,"C6ORF62,CAST,KCNMA1,LMCD1,PDLIM5,PDZRN3","CAPG,IL1RN,PLBD1,SFN"
GR 127935 hydrochloride,BRD-K11911061,HA1E,10.0,24.0,0.0192,229,107780,,"DDX21,FERMT2,FILIP1L,LMCD1,PDLIM5","CAPG,HMOX1,MMP14,SPRY1,TMEM158"
Lylamine hydrochloride,BRD-K62289640,HA1E,10.0,24.0,0.0192,228,62034,,"CAP2,FERMT2,LMCD1,PDLIM5","CAPG,HMOX1,SPRY1"
JAK3 Inhibitor VI,BRD-K04546108,PC3,10.0,6.0,0.0192,242,9947841,,"CAB39,FGF13,MGLL","APOD,CAMP,PLBD1,SFN,SPRY1,TMEM158"
Malonoben,BRD-K38477985,HA1E,10.0,24.0,0.0192,330,16759147,,"FERMT2,LMCD1","BET1,BLCAP,GOLT1B,IFT27,MAPK13,SRPRB,TERF2IP,YIPF3"
THIOTHIXENE,BRD-K97309399,HA1E,10.0,24.0,0.0192,209,941650,,DDX21,"CAPG,EBP,HMOX1,LY6E,MMP2,SERPINE2,SFN"
vorinostat,BRD-K81418486,HA1E,10.0,24.0,0.0192,427,5311,DB02546,"C6ORF62,CELF2,DENND5A,FERMT2,IRAK1,MBNL1,MGLL,SEMA3C,ZEB1","CRABP1,FEZ1,IFT27"
MITOMYCIN C,BRD-A48237631,MCF7,10.0,6.0,0.0192,164,5702003,,"DENND1B,FGF13,MGLL,PDZRN3,TTC28","SERPINE2,SFN,TMEM158"
