drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
Importazole,BRD-A02481876,HT29,60.0,24.0,0.0935,462,2949965,,"ACTN1,C5ORF13,CDKN2A,GZMK,LSM4,MGST2,MLF1IP,NME4,QDPR,SERPINB6,SLC27A2,STK39","AIM2,DNAJB9,DUSP5,HLA-E,MKNK2,RYBP,SLC2A3,SQSTM1,WBP2"
COT-10b,BRD-K18190982,HT29,44.4,24.0,0.0935,499,73707373,,"C5ORF13,GZMK,LSM4,LSM6,MARCKSL1,MCM10,MGST2,MLF1IP,NME4,PRKCA,QDPR,SLC27A2","CTH,DNAJB9,DUSP5,EMP3,ENO2,HLA-E,P2RX4,SAT1,SLC2A3,SLC7A7,WBP2"
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.0888,508,16219895,,"CCNB1,KPNA2,LSM6,MCM10,MLF1IP,NME4,QDPR","CTH,DNAJB9,DUSP5,EMP3,HLA-E,KYNU,MKNK2,P2RX4,SAT1,SLC2A3,SLC7A7,SQSTM1"
Akt inhibitor IV,BRD-K28296557,HT29,10.0,24.0,0.0888,429,5719375,,"BZW2,IFRD2,LSM6,MARCKSL1,MCM10,MGST2,NME4,PDGFD","AIM2,CTH,DNAJB9,DUSP5,KYNU,MKNK2,P2RX4,SERTAD2,SLC2A3,SQSTM1,WBP2"
BJM-ctd2-9,BRD-M86331534,HT29,10.0,24.0,0.0888,411,73707397,,"CDH2,GZMK,IFRD2,KPNA2,LAPTM4B,NME4,PFAS,SERPINB6,SLC27A2,STK39","DNAJB9,DUSP3,DUSP5,HLA-A,HLA-E,MKNK2,RYBP,SAT1,SQSTM1,TAP1"
trichostatin A,BRD-A19037878,NPC,10.0,24.0,0.0888,321,6376322,,"ACTN1,C5ORF13,CADM1,CDH2,MAP4K4,MARCKSL1,NME4,PCGF2,PTMA,SLC27A2,TP53I3,ZEB2","CAPG,CAV2,DUSP5,HLA-A,SAT1,SGCE,SQSTM1"
NICLOSAMIDE,BRD-K35960502,PC3,10.0,24.0,0.0841,304,4477,DB06803,"C5ORF13,LAPTM4B,MARCKSL1,MLF1IP,NME4,SLC27A2","CTH,DNAJB9,DUSP3,DUSP5,HLA-E,JUND,POU2AF1,SAT1,SERTAD2,SLC2A3,SLC7A7,TAP1,ZC3H12A"
NSC 3852,BRD-K13169950,HA1E,10.0,24.0,0.0794,352,19103,,"ACTN1,C5ORF13,CDH2,CDKN2A,NME4,PCGF2,PRKCA,QDPR,SERPINB6,TPM2","DNAJB9,KYNU,MNDA,PIR,RYBP,SAT1,SQSTM1"
-666,BRD-K19295594,A375,11.1,24.0,0.0794,533,227456,,"CCNB1,DTYMK,KPNA2,LAPTM4B,LSM4,LSM6,MARCKSL1,MCM10,MLF1IP,NME4,QDPR","CTH,DNAJB9,DUSP5,ENO2,SAT1,SERTAD2,SLC2A3,SQSTM1"
IMD 0354,BRD-K74305673,HA1E,10.0,24.0,0.0794,389,5081913,,"BZW2,C5ORF13,CDH2,LAPTM4B,MARCKSL1,NME4,QDPR,RPS26,SLC27A2,TP53I3,TPM2","ALOX5,DNAJB9,DUSP5,HLA-E,KYNU,SLC7A7"
COT-10b,BRD-K18190982,HCC515,44.4,24.0,0.0794,408,73707373,,"BZW2,CCNB1,CDH2,KPNA2,LAPTM4B,MCM10,MLF1IP,NME4,PRKCA","CTH,DNAJB9,DUSP5,ENO2,HLA-A,HLA-E,P2RX4,SAT1,SLC2A3"
IMD 0354,BRD-K74305673,MCF7,10.0,24.0,0.0794,528,5081913,,"C5ORF13,CCNB1,KPNA2,LSM4,MCM10,MLF1IP,NME4,PHB,QDPR,SLC27A2","DNAJB9,DUSP5,MKNK2,SAT1,SERTAD2,SQSTM1,ZC3H12A"
vorinostat,BRD-K81418486,NPC,10.0,24.0,0.0794,342,5311,DB02546,"C20ORF103,C5ORF13,CADM1,CDH2,CDK4,LEF1,MAP4K4,NME4,PTMA,SLC27A2,TP53I3","CAPG,CAV2,JUND,SAT1,SERTAD2,SQSTM1"
NICLOSAMIDE,BRD-K35960502,HA1E,10.0,24.0,0.0748,405,4477,DB06803,"C20ORF103,C5ORF13,CDH2,KPNA2,LAPTM4B,MARCKSL1,MLF1IP,NME4,QDPR,SLC27A2,TP53I3,TPM2","DNAJB9,DUSP5,KYNU,SAT1,SQSTM1"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.0748,426,5284439,,"DTYMK,GZMK,LSM4,LSM6,MARCKSL1,MCM10,MLF1IP,NME4","CTH,DNAJB9,DUSP3,DUSP5,HLA-E,KYNU,SAT1,SQSTM1"
ARP 101,BRD-K73395020,HT29,10.0,24.0,0.0748,355,11292680,,"ABCB1,LSM6,MARCKSL1,MCM10,NME4,PHB,PTMA,QDPR","CTH,DNAJB9,DUSP5,JUND,KYNU,SAT1,SLC2A3,SLC7A7,SQSTM1"
IMD 0354,BRD-K74305673,HT29,10.0,24.0,0.0748,354,5081913,,"CDH2,LSM6,MARCKSL1,MCM10,MLF1IP,NME4","DNAJB9,DUSP3,DUSP5,JUND,KYNU,P2RX4,SAT1,SLC2A3,SQSTM1,WBP2"
CHR 2797,BRD-K92241597,HT29,80.0,24.0,0.0748,473,15547703,,"C5ORF13,CDH2,CDKN2A,LSM6,MARCKSL1,MCM10,MLF1IP,NME4","CTH,DNAJB9,DUSP5,HLA-A,HLA-E,IFIH1,KYNU,OAS3,SAT1,SQSTM1,TAP1,ZC3H12A"
-666,BRD-K17140735,MCF7,11.1,24.0,0.0748,487,4259181,,"C5ORF13,LSM4,MCM10,NME4,QDPR","DNAJB9,DUSP5,EMP3,ENO2,HLA-E,JUND,POU2AF1,RYBP,SAT1,SQSTM1,ZC3H12A"
BJM-ctd2-9,BRD-M86331534,MCF7,10.0,24.0,0.0748,467,73707397,,"CCNB1,CDH2,KPNA2,LAPTM4B,MCM10,MLF1IP,NME4,SLC27A2","ALOX5,DUSP5,MKNK2,RYBP,SAT1,SLC7A7,SQSTM1,ZC3H12A"
IMD 0354,BRD-K74305673,PC3,10.0,24.0,0.0748,387,5081913,,"C5ORF13,MARCKSL1,MCM10,NME4,SLC27A2","CTH,DNAJB9,DUSP5,HLA-E,JUND,MKNK2,POU2AF1,RYBP,SAT1,SERTAD2,TAP1"
S1030,BRD-K02130563,NEU,10.0,24.0,0.0748,273,6918837,,"C5ORF13,CADM1,CDH2,CDK4,CHN1,H2AFY2,MAP4K4,MARCKSL1,NME4,PCGF2,PTMA,TP53I3","CAV2,CIB1,DUSP5,SAT1,SQSTM1"
LDN-193189,BRD-K04853698,HT29,10,24,0.0748,362,25195294,,"ACTN1,C5ORF13,MGST2,NME4,PRKCA,TST","AIM2,DNAJB9,DUSP5,HLA-A,JUND,KYNU,SAT1,SLC2A3,SQSTM1,SWAP70,ZBTB43,ZC3H12A"
AMSACRINE,BRD-K98490050,HA1E,10.0,24.0,0.0701,344,3926765,,"BZW2,C5ORF13,CDH2,KPNA2,LAPTM4B,MARCKSL1,NME4,PRKCA,TPM2","AIM2,DUSP5,IFIH1,OAS3,PLA2G4C,SAT1,SQSTM1,TAP1"
