drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
bortezomib,True,0.03854123294162044,0.9999997435186585,1,2.577441391438884e-27,1.425067345326559e-23,1.0000000001631326,1,88,16934,88
vorinostat,True,0.03880335774897826,0.9999998640300491,1,1.0727258210852783e-10,1.9770336882601678e-07,1.0000000000060505,1,33,6455,33
sirolimus,True,0.05848061152144523,0.9999999166345442,1,1.6732121729497292e-09,1.8502380208478105e-06,0.9999999999912476,1,29,3785,29
lapatinib,True,0.07504917904010422,0.9999999863484638,1,3.5126054947060908e-06,0.002189466976360782,0.9999999999941248,1,18,1854,18
erlotinib,True,0.06181031087149221,0.9999999685910985,1,3.5639722892470675e-06,0.002189466976360782,0.9999999999946062,1,18,2250,18
dasatinib,True,0.04367781180095478,0.9999999287793151,1,7.292292967493864e-06,0.004031908781727358,1.0000000000042133,1,17,3009,17
ibrutinib,True,0.05270145933087942,0.9999999673654169,1,2.9102480922486903e-05,0.011493401215745006,0.9999999999953133,1,15,2211,15
pazopanib,True,0.07514004767640507,1.0000000023797904,1,5.732853738277141e-05,0.017301041301316083,1.000000000005224,1,14,1452,14
selumetinib,True,0.04892364775213587,0.9999999659170162,1,5.8592994439627775e-05,0.017301041301316083,1.0000000000013225,1,14,2228,14
mitoxantrone,True,0.03139869267332511,0.9999999200183869,1,5.945375017634393e-05,0.017301041301316083,1.0000000000054436,1,14,3466,14
everolimus,True,0.08502572269149165,0.9999999809289432,1,0.00011436000002017082,0.029013087905804768,1.0000000000003206,1,13,1195,13
vandetanib,True,0.0751955663783731,0.9999999889191167,1,0.00011522453989975155,0.029013087905804768,1.0000000000029323,1,13,1351,13
idelalisib,True,0.07598895456116599,0.9999999834728326,1,0.00023147071514925723,0.04100803260468671,0.9999999999994529,1,12,1238,12
doxorubicin,True,0.07147921972713836,0.9999999839136455,1,0.00023220273175915897,0.04100803260468671,0.9999999999990777,1,12,1316,12
trametinib,True,0.06106711013405519,0.999999999869601,1,0.00023390165888664195,0.04100803260468671,0.9999999999958035,1,12,1540,12
imatinib,True,0.05617009752521302,0.9999999916653953,1,0.00023470498319726603,0.04100803260468671,1.0000000000012106,1,12,1674,12
olaparib,True,0.04732802340451221,0.9999999707061965,1,0.00023616245676868575,0.04100803260468671,1.000000000001483,1,12,1986,12
gefitinib,True,0.046761533893096625,0.9999999678078049,1,0.0002362561410241826,0.04100803260468671,1.0000000000002371,1,12,2010,12
afatinib,True,0.04021937608756087,0.9999999606381031,1,0.00023734075661963733,0.04100803260468671,1.0000000000021332,1,12,2336,12
TUL,True,0.35605322139571705,0.9999887228703663,1,0.00038953352903864597,0.06370248912131615,1.0000000000001326,1,11,243,11
