drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
vorinostat,True,0.009287042078198903,0.9999999711824851,1,6.585996228143605e-19,4.95815749375411e-16,1.0000000000000817,1,60,6428,60
bortezomib,True,0.0032023644384231247,0.9999999773128486,1,1.2673615350789717e-17,6.360746726613017e-15,1.000000000103696,1,56,16966,56
colchicine,True,0.16440951341696583,0.999999996562177,1,3.5333680072864767e-17,1.5960223288913014e-14,0.9999999999995696,1,49,301,49
paclitaxel,True,0.044465447099833834,1.000000021598182,1,2.207565387805743e-14,7.1225520405132434e-12,1.0000000000036082,1,44,1000,44
sirolimus,True,0.00906248425411541,1.0000000047528745,1,5.0180272337472775e-11,1.259246056379803e-08,0.9999999999926965,1,34,3780,34
everolimus,True,0.026732055417564564,1.0000000216609242,1,3.137228561089226e-10,6.441300641109106e-08,0.9999999999999515,1,31,1177,31
mebendazole,True,0.057977284868278495,1.0000000095478023,1,4.074682028254071e-10,8.002321183314626e-08,1.0000000000014435,1,30,526,30
KX-2391,True,0.08889756501219416,0.9999999936604836,1,5.009506240869737e-09,8.38071840370689e-07,0.9999999999995937,1,26,298,26
estradiol,True,0.020144808691114267,1.0000000369728874,1,5.7594964612917e-09,9.291301969876646e-07,1.0000000000033593,1,27,1363,27
vinblastine,True,0.11530109575359357,0.9999999951458377,1,7.670772625813528e-09,1.1947889638206795e-06,0.999999999999374,1,25,221,25
docetaxel,True,0.040884791686227454,1.0000000060948875,1,9.026401193790706e-09,1.3590751397450872e-06,0.9999999999993775,1,26,648,26
pemetrexed,True,0.07954612760302066,0.9999999951319545,1,9.498218042168541e-07,9.750784294653477e-05,0.9999999999994106,1,19,245,19
carbamazepine,True,0.029831600345943978,1.000000012479811,1,2.9809840191258857e-06,0.0002805230169664922,0.9999999999994207,1,18,620,18
lovastatin,True,0.061379647593961716,0.9999999958493293,1,4.736921245753773e-06,0.0004366668013687713,0.9999999999997958,1,17,285,17
nimodipine,True,0.02488476440416229,1.0000000156991855,1,6.288180472344462e-06,0.0005359190791241498,1.0000000000007363,1,17,703,17
AZD-5363,True,0.019585224085762964,1.0000000155780333,1,1.32330098889545e-05,0.0010305776839380598,1.000000000000358,1,16,842,16
clozapine,True,0.025704225651698626,1.0000000098729247,1,5.194732384813954e-05,0.0032734895533729127,1.0000000000012788,1,14,564,14
lenalidomide,True,0.022232935113423398,1.000000004336311,1,5.308936218255633e-05,0.0032849951914877664,1.0000000000007712,1,14,652,14
amisulpride,True,0.1028384905153897,0.9999999918437011,1,6.739392625016401e-05,0.004005504800947248,1.0000000000000446,1,13,131,13
alprostadil,True,0.03845284071191695,0.9999999980851291,1,9.777264385925892e-05,0.005590367497623703,1.000000000000123,1,13,351,13
valdecoxib,True,0.025612328182390256,1.0000000069438526,1,0.00010528976599288058,0.00594492341237302,1.0000000000024643,1,13,527,13
crizotinib,True,0.007195940115122618,1.0000000175821633,1,0.00011708721748879236,0.006414872070201636,0.9999999999971384,1,13,1871,13
selumetinib,True,0.006035284964569978,1.0000000283725357,1,0.0001178734518102138,0.006414872070201636,1.0000000000003106,1,13,2229,13
ingenol-mebutate,True,0.04193141265380039,0.9999999978265245,1,0.00019570038859290204,0.009690979509575797,0.9999999999998,1,12,298,12
cabazitaxel,True,0.04030972205665954,0.9999999943195709,1,0.00019738103052490002,0.009690979509575797,0.9999999999997538,1,12,310,12
albendazole,True,0.028930703467819764,0.9999999995842256,1,0.00020958418294307873,0.010071188876105176,0.9999999999998954,1,12,432,12
axitinib,True,0.016615260006274973,1.0000000141078824,1,0.0002236390528229,0.010191913548134635,0.9999999999979392,1,12,752,12
troglitazone,True,0.005735614433910566,1.0000000270750153,1,0.00023683519142693837,0.010286389996879622,1.0000000000034044,1,12,2172,12
risperidone,True,0.02133190514713327,1.0000000073450324,1,0.00044095330721508974,0.017828751263351712,1.0000000000003766,1,11,539,11
digitoxin,True,0.019520255435082644,1.000000005909043,1,0.00044478335010752205,0.017828751263351712,1.0000000000002554,1,11,589,11
tranylcypromine,True,0.01894106431232631,1.00000000847574,1,0.00044601480911196444,0.017828751263351712,1.000000000001145,1,11,607,11
estradiol-cypionate,True,0.0177324304844815,1.000000011084892,1,0.0009051368917519881,0.030449687505241303,0.9999999999994016,1,10,592,10
losartan,True,0.01629970834180327,1.0000000090998455,1,0.0009107010665564192,0.030449687505241303,1.0000000000005898,1,10,644,10
thalidomide,True,0.012492862086615816,1.0000000130667785,1,0.0009256517413519678,0.030449687505241303,1.00000000000056,1,10,840,10
epirubicin,True,0.012345679012345678,1.0000000170309535,1,0.0009262346650333742,0.030449687505241303,1.0000000000013074,1,10,850,10
valproic-acid,True,0.009730446628972173,1.0000000239096634,1,0.0009366536771145713,0.030449687505241303,0.9999999999979995,1,10,1078,10
imatinib,True,0.006250701925482286,1.000000023674428,1,0.000950698499586102,0.030449687505241303,1.000000000001706,1,10,1676,10
mitoxantrone,True,0.0030065832140166392,0.9999999907182879,1,0.0009639816943213431,0.030449687505241303,1.0000000000031692,1,10,3470,10
vinorelbine,True,0.0956482800017545,0.9999999928164658,1,0.001359600618441258,0.042063808174651794,0.9999999999999485,1,9,99,9
vincristine,True,0.06920830786370226,0.9999999842876867,1,0.0015029795679230836,0.04618339257352767,0.999999999999995,1,9,137,9
disulfiram,True,0.02025264172344008,1.0000000072265889,1,0.0018089548541641684,0.05148823110584157,1.0000000000006612,1,9,469,9
flutamide,True,0.012990670231033218,1.0000000185821944,1,0.0018593289243330677,0.05148823110584157,0.9999999999992082,1,9,731,9
digoxin,True,0.010375208804265033,1.0000000155206055,1,0.001877812110668777,0.05148823110584157,1.0000000000014428,1,9,915,9
gatifloxacin,True,0.010285135122681222,1.0000000143646368,1,0.001878451906575106,0.05148823110584157,1.00000000000114,1,9,923,9
dinoprostone,True,0.06524570739905877,0.9999999931599771,1,0.003151579846703183,0.08373933039740164,1.0000000000001676,1,8,130,8
ingenol,True,0.04122529363648379,0.999999989763268,1,0.003410830181567624,0.08740305053752875,1.0000000000002294,1,8,206,8
ixabepilone,True,0.026890337306486132,0.9999999936604836,1,0.003575489880510404,0.08740305053752875,0.9999999999999408,1,8,316,8
levothyroxine,True,0.02072809973984712,0.9999999977298414,1,0.0036486770749699715,0.08740305053752875,1.0000000000001725,1,8,410,8
ziprasidone,True,0.020331475892806525,0.9999999995162725,1,0.003653438390228963,0.08740305053752875,0.9999999999996767,1,8,418,8
capsaicin,True,0.01545148956770623,1.000000006405639,1,0.0037125295286013034,0.08740305053752875,0.9999999999999647,1,8,550,8
quetiapine,True,0.015175454334411488,1.0000000106419675,1,0.003715900308946365,0.08740305053752875,1.00000000000014,1,8,560,8
salmeterol,True,0.013618164768448265,1.000000007433447,1,0.0037349742394666343,0.08740305053752875,1.0000000000001175,1,8,624,8
isradipine,True,0.012797189597528036,1.000000007230302,1,0.003745068929683956,0.08740305053752875,0.9999999999993758,1,8,664,8
azathioprine,True,0.009652868678851961,1.000000012081705,1,0.0037839837180732366,0.08740305053752875,1.0000000000015223,1,8,880,8
GDC-0199,True,0.007635635677991459,1.000000021359484,1,0.003809161592490769,0.08740305053752875,1.0000000000005296,1,8,1112,8
raloxifene,True,0.005876019374147069,1.000000031202692,1,0.003831260572599224,0.08740305053752875,0.9999999999997804,1,8,1444,8
gefitinib,True,0.004207668100586224,1.0000000162943694,1,0.003852331590104769,0.08744211956031779,0.9999999999988521,1,8,2014,8
methylphenidate,True,0.04709914931504723,0.9999999900158902,1,0.006848492931449737,0.1424076516595889,1.0000000000002145,1,7,159,7
varenicline,True,0.0172385172686067,0.9999999987048956,1,0.0074447036676520825,0.1424076516595889,0.9999999999993766,1,7,435,7
olmesartan-medoxomil,True,0.016626994221577342,1.0000000019020951,1,0.0074574374283062905,0.1424076516595889,0.9999999999997347,1,7,451,7
lamotrigine,True,0.013809459446706345,1.0000000073450324,1,0.007516387806110722,0.1424076516595889,0.9999999999996038,1,7,543,7
benazepril,True,0.013040605474218599,1.000000013158139,1,0.007532554766260561,0.1424076516595889,1.00000000000019,1,7,575,7
