drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
vorinostat,True,0.4513422617010824,0.9999999517348646,1,3.2622607328249023e-19,1.8568788091239346e-15,1.0000000000024758,1,61,6427,61
sirolimus,True,0.6855933855198214,0.9988435863404385,1,3.7941161956712364e-17,1.0798054692880339e-13,0.9999999999905889,1,54,3760,54
everolimus,True,1.2678196308451646,0.13282441496784256,1,3.137228561089226e-10,2.976184161619979e-07,0.9999999999999515,1,31,1177,31
mitoxantrone,True,0.4315765316732161,0.9999999685115154,1,4.0693546904175916e-10,3.3089666996938476e-07,1.0000000000078582,1,31,3449,31
troglitazone,True,0.5365662746624659,0.9998132960094585,1,5.245642295264172e-08,2.132728281760262e-05,1.0000000000039357,1,24,2160,24
tretinoin,True,1.002759558366345,0.5682375066727501,1,7.837807852263033e-07,0.0002478489016393399,0.9999999999973991,1,20,968,20
bortezomib,True,0.05326517313977572,0.9999999563731289,1,1.8882630255297177e-06,0.0004885451427870524,1.0000000000337146,1,19,17003,19
belinostat,True,1.158690412686647,0.3395722075323241,1,3.1161434953893586e-06,0.0006821957221444703,0.999999999999825,1,18,756,18
paclitaxel,True,0.7597840776562382,0.9124276813317878,1,1.3578348678017004e-05,0.0022183459159157764,1.0000000000018479,1,16,1028,16
fulvestrant,True,0.45486903855744104,0.9999363960820815,1,1.4228471975519641e-05,0.0022183459159157764,0.9999999999977773,1,16,1716,16
AZD-5363,True,0.8704222646982718,0.7769499714360012,1,2.694547665799102e-05,0.0039253486806349715,1.000000000001469,1,15,843,15
estradiol,True,0.5334243997688755,0.9983137483235103,1,2.8274647910406506e-05,0.0039253486806349715,1.0000000000017664,1,15,1375,15
colchicine,True,2.0422525754288237,0.015453505119966755,1,4.656956567289547e-05,0.00616451087930514,1.0000000000003677,1,14,336,14
valproic-acid,True,0.6389952707399179,0.9789048826594086,1,5.607876775577182e-05,0.006689903260726344,0.9999999999976733,1,14,1074,14
pazopanib,True,0.4724847507183546,0.9996971343455208,1,5.732853738277141e-05,0.006689903260726344,1.000000000005224,1,14,1452,14
KX-2391,True,1.8956103753714764,0.03913171481847801,1,0.00019764990870885978,0.02056315791490276,0.9999999999995982,1,12,312,12
lenalidomide,True,0.9047082553582011,0.72246818503759,1,0.00022072088388227264,0.021755530190385525,0.9999999999998993,1,12,654,12
ibrutinib,True,0.2668802457795579,1.0000000089817067,1,0.00023697169216512694,0.021755530190385525,0.99999999999397,1,12,2214,12
pemetrexed,True,2.1498843660550566,0.02274049362867424,1,0.0003930229288570401,0.034416715554681114,0.9999999999995451,1,11,253,11
