drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.0548,508,16219895,,"ANP32E,ATAD2,CDT1,FAM111A,FBXO5,MCM3,PARP1,POLD1,POLQ,UNG","CDKN1A,CREB3L2,HMGCS1,IRS2,KLF6,LAMB3,LHFPL2,MICAL2,SLC1A4,TMEM41B,VAT1"
C8273,BRD-K25504083,MCF7,10.0,24.0,0.0519,340,44634700,,"ATAD2,MCM3,UNG,VCAM1","ANXA3,CDKN1A,DUSP10,INHBB,KIDINS220,KLF6,LAMB3,MICAL2,NEDD4L,PALLD,PDGFA,RND3,SPATS2L,TGFB1I1,WLS"
PERHEXILINE MALEATE,BRD-A19633847,A375,10.0,24.0,0.049,389,5284439,,"ANP32E,ATAD2,CDT1,FAM111A,FBXO5,MCM3,USP1","CDKN1A,ETS2,HMGCS1,IGFBP5,IRS2,MEST,RND3,SPRED2,SPRY1,TMEM41B,TSC22D1"
TW 37,BRD-K28360340,VCAP,10.0,24.0,0.049,388,11455910,,"CDC25B,NEFH","AKAP12,AUTS2,CDKN1A,DUSP10,ENC1,GJA1,HMGCS1,IRS2,KLF6,LASP1,LMO4,PALLD,PFKFB3,PHACTR2,SPATS2L,STK38L"
THAPSIGARGIN,BRD-K69023402,HT29,10.0,24.0,0.0432,361,446378,,"ATAD2,BAZ1A,CDT1,FAM111A,MCM3,POLD1,UNG","CDKN1A,CREB3L2,HMGCS1,IGFBP5,IRS2,LHFPL2,PRSS23,SLC1A4,SORBS2,TMEM41B"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.0432,426,5284439,,"ANP32E,ATAD2,FAM111A,ITGA4,MCM3,PARP1,UNG","CDKN1A,CREB3L2,HMGCS1,IGFBP5,IRS2,KLF6,LAMB3,LMO4,NDEL1,PRSS23,VAT1"
CAY10594,BRD-K61662457,HT29,20.0,24.0,0.0432,476,56588033,,"ATAD2,CDT1,FAM111A,MCM3,PARP1,POLD1,POLQ,UNG","CDKN1A,CPD,CREB3L2,HMGCS1,IRS2,LMO4,MICAL2,NDEL1,SLC1A4,SORBS2,TMEM41B"
TG101348,BRD-K12502280,A375,11.1,24.0,0.0403,495,16722836,,"ANP32E,ATAD2,CDT1,FAM111A,FBXO5,MCM3,POLD1,POLQ,USP1","CDKN1A,EFNB2,ETS2,F11R,HMGCS1,MEST,SPRY1,VAT1,WLS"
Narciclasine,BRD-K06792661,A549,10.0,6.0,0.0403,451,72376,,"ALDH3A1,KBTBD11,MCM3,SNN,UNG","ADAMTS1,AKAP12,ANXA3,CDKN1A,DAAM1,DUSP10,DUSP8,HMGCS1,IRS2,KLF6,NEDD4L,SPRY1,TSC22D1,TSC22D2"
-666,BRD-A62809825,HT29,10.0,24.0,0.0403,512,5353993,,"ATAD2,FAM111A,MCM3,PARP1,POLD1,UNG,VCAM1","CDKN1A,CREB3L2,GJA1,HMGCS1,IGFBP5,IRS2,LAMB3,LMO4,NDEL1,SLC1A4,TMEM41B"
