drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
vorinostat,BRD-K81418486,MCF7,11.1,24.0,0.0276,532,5311,DB02546,"CST3,GTSE1,KRT18,MLPH,SLC43A3,ZFP36L2",SLC6A8
Parthenolide,BRD-K98548675,NCIH1836,10.0,6.0,0.0276,152,6473881,,"CRABP2,IGFBP2,TIMP1","BAG2,FBXO11,NAMPT"
curcubitacin I,BRD-A28105619,NOMO1,10.0,6.0,0.0276,247,73707401,,"CST3,CYP2E1,FXYD2,TNS3","BAG2,NAMPT"
Narciclasine,BRD-K06792661,PC3,10.0,24.0,0.0276,511,72376,,"CRABP2,KRT18,LRP8,MLPH,PSRC1,TUBB6","CRY1,DUSP8,OXSR1"
HDAC6 inhibitor ISOX,BRD-K69840642,PC3,10.0,24.0,0.0276,393,24951314,,"CST3,KRT18,MLPH,RAI14,TGM2,TP63,TUBB6",
-666,BRD-K94325918,PC3,10.0,24.0,0.0276,424,20345,,"ENO2,GTSE1,LTBP2,PSRC1,TGM2,TNS3","NAMPT,OXSR1,PAFAH1B1"
Chemistry 2804,BRD-K74402642,PL21,10.0,6.0,0.0276,223,6477762,,"GPX1,TNS3,ZFP36L2","NAMPT,NQO1,TMEM135"
Losartan Potassium,BRD-K76205745,RMGI,160.0,6.0,0.0276,148,3961,DB00678,"GRIA2,IGFBP2,NRCAM,RAI14,SOX11,ZFP36L2","COCH,HNRNPH1"
Bay 11-7821,BRD-K15025317,SKM1,10.0,6.0,0.0276,164,5353431,,"ACACA,SLC43A3,TNS3","FZD7,NQO1,SLC6A8"
-666,BRD-K52075040,SKM1,44.4,6.0,0.0276,257,5282054,DB01034,"CST3,GPX1,GRIA2,SLC43A3,SOX11","MOSPD1,SLC6A8"
HDAC6 inhibitor ISOX,BRD-K69840642,SKM1,10.0,6.0,0.0276,262,24951314,,"GPX1,IGFBP2,PARVB,SLC43A3,TNS3,ZFP36L2",SLC6A8
-666,BRD-K09635314,T3M10,80.0,6.0,0.0276,167,761523,,"CRABP2,HEY1,IGFBP2,KRT18,MLPH,TUBB6",FBXO11
CT-200783,BRD-K02822062,THP1,10.0,6.0,0.0276,166,73707405,,"NPY,TNS3,ZFP36L2","MOSPD1,NQO1,SLC6A8"
KU 0060648 trihydrochloride,BRD-K09499853,THP1,10.0,6.0,0.0276,213,11964036,,"CXCL10,NPY,SLC43A3","FBXO11,MOSPD1,NQO1"
CT-200783,BRD-K02822062,VCAP,10.0,24.0,0.0276,306,73707405,,"IGFBP2,KRT18,MLPH,NPY,POLD2","MOSPD1,NQO1"
