drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
DL-PDMP,BRD-K05653692,HT29,64.0,24.0,0.1899,508,16219895,,"CCNB1,CCNF,CENPF,CHEK1,HMMR,KIAA0101,KPNA2,MCM10,NME1,NME4,OIP5,POLA2,POLE2,QDPR,RANBP1,TIMELESS,TRIP13","ASS1,CEBPG,DNAJB9,GOLGB1,HLA-E,LDLR,MKNK2,NFE2L1,SLC7A11,SLC7A7,SQSTM1,TPP1,WARS"
-666,BRD-A62809825,A375,10.0,24.0,0.1835,464,5353993,,"ADI1,C20ORF27,CCNB1,CCNF,CENPF,DTYMK,HMMR,KIAA0101,KPNA2,MCM10,NME4,OIP5,POLE2,QDPR,RANBP1,SYNCRIP,TRIP13","ASS1,CEBPG,DNAJB9,GOLGB1,HAX1,INHBE,MOCOS,SLC7A11,SQSTM1,TPP1,TTC17,WARS"
NCGC00185684-02,BRD-K37940862,HT29,10.0,24.0,0.1772,365,46930969,,"CCNF,CENPF,HMMR,KIAA0101,MCM10,NME4,OIP5,POLE2,RANBP1,STRA13,TRIP13","ASS1,BTN3A3,CEBPG,DNAJB9,GOLGB1,HLA-A,HLA-B,HLA-E,IFIH1,INHBE,LDLR,RARRES3,SLC7A11,SQSTM1,TAP1,TMEM140,WARS"
IMD 0354,BRD-K74305673,MCF7,10.0,24.0,0.1709,528,5081913,,"ADI1,C5ORF13,CCNB1,CCNF,CHEK1,HMMR,KIAA0101,KPNA2,LSM4,MCM10,NME1,NME4,NUTF2,OIP5,POLA2,QDPR,SEPW1,STRA13,TRIP13","ASS1,DNAJB9,GOLGB1,LDLR,MKNK2,SLC7A11,SQSTM1,WARS"
niguldipine hydrochloride,BRD-A43331270,HT29,10.0,24.0,0.1646,422,71317558,,"CCNB1,CCNF,CENPF,HMMR,KIAA0101,KPNA2,MCM10,NME1,OIP5,POLA2,POLE2,RANBP1,TIMELESS,TRIP13","ASS1,CEBPG,DNAJB9,INHBE,JUND,LDLR,NFE2L1,SLC7A11,SQSTM1,TPP1,WARS,WBP2"
Salermide,BRD-A67788537,HT29,120.0,24.0,0.1646,363,42626405,,"CCNF,CDH2,CENPF,KIAA0101,MGST2,NME1,NME4,POLE2,SERPINB6,STRA13,TRIP13","CEBPG,DNAJB9,HLA-A,HLA-B,HLA-E,IFIH1,IL15RA,LDLR,RARRES3,SLC7A11,SQSTM1,TAP1,TMEM140,WARS,WBP2"
MK-2206,BRD-K68065987,HT29,10.0,24.0,0.1646,393,24964624,,"BOP1,CCNF,CENPF,HMMR,KIAA0101,KPNA2,LSM4,MCM10,NME1,OIP5,POLA2,POLE2,RANBP1,RRS1,TIMELESS,TRIP13","ASS1,CTDSP2,DNAJB9,HLA-E,LDLR,SLC7A11,SQSTM1,SWAP70,TPP1,WARS"
radicicol,BRD-A39996500,MCF10A,10,24,0.1646,431,5311380,,"ACTN1,BOP1,C20ORF27,C5ORF13,CCNF,HMGB3,HMMR,KIAA0101,MCM10,NME1,OIP5,PFAS,POLD2,POLE2,RANBP1,RBM3,RRS1,SYNCRIP,TRIP13","DNAJB9,GOLGB1,NFE2L1,PIR,SLC7A11,SLC7A7,SQSTM1"
-666,BRD-K19295594,A375,11.1,24.0,0.1582,533,227456,,"C20ORF27,CCNB1,CCNF,CENPF,DTYMK,HMGB3,HMMR,KIAA0101,KPNA2,LSM4,MCM10,NME4,OIP5,POLA2,POLE2,QDPR,TIMELESS,TRIP13","ASS1,DNAJB9,GOLGB1,MYO1D,SLC7A11,SQSTM1,TPP1"
PERHEXILINE MALEATE,BRD-A19633847,HT29,10.0,24.0,0.1582,426,5284439,,"CCNF,CENPF,DTYMK,HMMR,KIAA0101,LSM4,MCM10,NME1,NME4,OIP5,POLE2,RANBP1,SEPW1,STRA13,TRIP13","CEBPG,DNAJB9,GOLGB1,HLA-B,HLA-E,LDLR,SLC7A11,SQSTM1,TPP1,WARS"
