drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
CAY10594,BRD-K61662457,HT29,20.0,24.0,0.1347,476,56588033,,"BUB1,C20ORF27,CCNF,CDC20,CDH2,CENPF,CSE1L,DNAJC9,HMMR,KIAA0101,KPNA2,LSM6,MARCKSL1,MCM10,MCM4,NME1,NME4,OIP5,POLA2,POLE2,RANBP1,RNASEH2A,SPC25,SYNCRIP,TACC3,TIMELESS,TK1,TPX2,TRIP13,TYMS","ARL1,ARMCX3,ASS1,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GOLGB1,GULP1,HMGCR,INHBE,LDLR,RAP1GAP,RHOQ,SCD,SLC7A11,WARS"
THAPSIGARGIN,BRD-K69023402,HT29,10.0,24.0,0.1318,361,446378,,"BUB1,CCNF,CDC20,CENPF,CSE1L,DNAJC9,HMMR,KIAA0101,LSM6,MARCKSL1,MCM10,MCM4,NME4,NRGN,OIP5,POLA2,POLE2,RANBP1,SPC25,TACC3,TIMELESS,TK1,TMEM106C,TPX2,TRIP13,TYMS","ARMCX3,ASS1,CCPG1,CEBPG,DDIT3,DNAJB9,GCNT3,GOLGB1,GULP1,HMGCR,LDLR,LHFPL2,NEU1,NFE2L1,RAP1GAP,RHOQ,SCD,SLC7A11,SLC7A7,TM4SF1,WARS"
-666,BRD-K19295594,A375,11.1,24.0,0.1318,533,227456,,"BUB1,C20ORF27,CCNB1,CCNF,CENPF,CSE1L,DTYMK,H2AFZ,HMGB3,HMMR,HN1,KIAA0101,KPNA2,LSM4,LSM6,MARCKSL1,MCM10,MCM4,NME4,OIP5,PAFAH1B3,POLA2,POLE2,POLR2L,QDPR,RNASEH2A,SFPQ,SPC25,TACC3,TIMELESS,TK1,TMEM106C,TPX2,TRIP13,TUBG1,TYMS","ARMCX3,ASS1,DDIT3,DNAJB2,DNAJB9,GOLGB1,MYO1D,OPTN,RAP1GAP,RRAGC,SLC7A11,SQSTM1,TPP1"
BMS-536924,BRD-K34581968,HT29,11.1,24.0,0.1318,465,11353973,,"ALG8,BOP1,BUB1,CCNF,CD3EAP,CENPF,CSE1L,CTPS,DNAJC9,EBNA1BP2,HMMR,HN1,KIAA0101,KPNA2,LSM6,MCM10,MCM4,MRTO4,NME1,PA2G4,PDSS1,PFAS,POLA2,POLD2,POLE2,PUS7,RRP15,RRS1,SLC25A15,SPC25,STRA13,SYNCRIP,TACC3,TK1,TPX2,TRIP13,TUBG1,TYMS","C10ORF10,C14ORF132,CTDSP2,DNAJB2,GULP1,HLA-B,HLA-E,OPTN,RRAGC,TNS3,TPP1"
foretinib,BRD-K03449891,HT29,10,24,0.1318,386,42642645,,"BOP1,CHEK1,CSE1L,CTPS,DNAJC9,EMG1,KIAA0101,LSM6,MCM10,MCM4,MRTO4,NME1,NME4,OIP5,PA2G4,PDSS1,POLD2,POLE2,RANBP1,RRP15,RRS1,SYNCRIP,TK1,TRIP13,TUBG1,TYMS","ARMCX3,C14ORF132,CAMLG,CBS,CCPG1,CTDSP2,DDIT3,DNAJB2,DNAJB9,EFHC1,GPR137B,GULP1,HLA-E,HMGCR,IFIH1,MYO1D,NEU1,OPTN,RRAGC,SCD,ST13,TPP1"
IMD 0354,BRD-K74305673,HT29,10.0,24.0,0.1289,354,5081913,,"BUB1,C18ORF10,CCNF,CDH2,CENPF,CSE1L,DNAJC9,HMMR,HN1,KIAA0101,LSM6,MARCKSL1,MCM10,MCM4,NME4,OIP5,PDSS1,POLA2,POLE2,POLR2L,RANBP1,RNASEH2A,SPC25,TACC3,TK1,TPX2,TRIP13,TYMS","ARMCX3,CBS,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,HMGCR,JUND,KLF9,LDLR,NEU1,P2RX4,RAP1GAP,RRAGC,SLC7A11,SQSTM1,WARS,WBP2"
IMD 0354,BRD-K74305673,MCF7,10.0,24.0,0.1289,528,5081913,,"ADI1,BUB1,C5ORF13,CCNB1,CCNF,CDC20,CHEK1,CSE1L,DNAJC9,HMMR,KIAA0101,KPNA2,LSM4,MCM10,MCM4,NME1,NME4,NUTF2,OIP5,PDSS1,PHB,POLA2,POLR2L,QDPR,RNASEH2A,SEPW1,SPC25,STRA13,TACC3,TK1,TMEM106C,TPX2,TRIP13,TYMS","ASS1,DDIT3,DNAJB9,GOLGB1,GULP1,LDLR,MKNK2,OPTN,PLAU,SLC38A1,SLC7A11,SQSTM1,TM4SF1,WARS,ZFAND5"
radicicol,BRD-A39996500,MCF10A,10,24,0.1289,431,5311380,,"ACTN1,BCS1L,BOP1,BUB1,C20ORF27,C5ORF13,CCNF,CD3EAP,CDC20,HMGB3,HMMR,KIAA0101,LSM6,MCM10,MCM4,MRTO4,MT1X,NME1,OIP5,PA2G4,PDSS1,PFAS,POLD2,POLE2,PUS7,RANBP1,RBM3,RRS1,SYNCRIP,TRIP13,TYMS","ARMCX3,CCPG1,DDIT3,DNAJB2,DNAJB9,GOLGB1,GULP1,NEU1,NFE2L1,PIR,RHOQ,RRAGC,SCD,SLC7A11,SLC7A7,SQSTM1"
COT-10b,BRD-K18190982,HT29,44.4,24.0,0.1261,499,73707373,,"BUB1,C20ORF27,C5ORF13,CCNF,CSE1L,CTPS,HMGB3,HMMR,KIAA0101,LSM4,LSM6,MARCKSL1,MCM10,MGST2,MRPL23,NME1,NME4,PAFAH1B3,PDSS1,POLE2,QDPR,RRS1,SFPQ,SPC25,SYNCRIP,TRIP13,TYMS","ARMCX3,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GOLGB1,GULP1,HLA-B,HLA-E,KLF9,LDLR,NEU1,OPTN,P2RX4,RHOQ,RRAGC,SLC7A11,SLC7A7,TPP1,WBP2"
Ro 28-1675 ?,BRD-K21672174,HT29,160.0,24.0,0.1261,520,9886086,,"BUB1,C18ORF10,CCNB1,CCNF,CENPF,CSE1L,DTYMK,HMGB3,HMMR,KIAA0101,MARCKSL1,MCM10,MCM4,NME4,OIP5,PA2G4,PAFAH1B3,POLE2,RANBP1,RNASEH2A,SPC25,TACC3,TK1,TPX2,TRIP13,TYMS","ARMCX3,CCPG1,CEBPG,DDIT3,DNAJB2,DNAJB9,GOLGB1,GULP1,HLA-B,HLA-E,IL6,LHFPL2,NEU1,OPTN,PLAU,RAP1GAP,RRAGC,SLC7A11,SQSTM1,TAP1,WARS"
