drug,pert_id,cell_line,dose,time,score,deg_count,pubchem_id,drugbank_id,up_dn_overlap,dn_up_overlap
-666,BRD-K53414658,A375,10.0,24.0,0.051,425,9911830,,"CBFB,CCNE2,MYBL1","CRABP1,FEZ1,HMOX1,MMP2,TMEM158,TSPAN31,WLS"
-666,BRD-A36630025,HA1E,0.35,24.0,0.051,333,4014291,,"BMPR1A,DENND5A,MBNL1,PDLIM5","BLCAP,FEZ1,IL1RN,TMEM158"
PF 750,BRD-K83213911,HT29,80.0,24.0,0.051,398,25154868,,"CCNE2,MBNL1,MYBL1,SRSF2","APOD,FEZ1,HMOX1,SHMT2,SLC3A2,TSPAN31"
chaetocin,BRD-A85860691,HA1E,0.08,6.0,0.0446,266,161591,,"CCNE2,CELF2,PNMA1","HMOX1,MIA,PLBD1,SNX10,TMEM158"
BIBR1532,BRD-K04623885,HT29,80.0,24.0,0.0446,135,9927531,,"CELF2,CREG1,MBNL1","HMOX1,SHMT2,SLC3A2,TSPAN31"
-666,BRD-K93754473,HT29,28.39,24.0,0.0446,198,2733526,DB00675,"CAB39,CCNE2,MBNL1,SRSF2","APOD,HMOX1,SERPINE2,SHMT2,SLC3A2,TSPAN31"
GANT 58,BRD-K64451768,PL21,10.0,6.0,0.0446,133,253078,,"CBFB,DENND5A","CLU,CRABP1,MARCKS,PLBD1,TMEM158"
T542500,BRD-A59985574,MCF7,10.0,6.0,0.0446,338,5515,,"ERG,FGF13,PDLIM5","ATXN10,FEZ1,IL1RN,SERPINE2,TMEM158"
-666,BRD-A93236127,SKB,10.0,24.0,0.0446,283,5702041,,"CAP2,WDR13","CLU,CRABP1,HMOX1,PLA2G7,SLC3A2"
-666,BRD-K91145395,HCC515,10.0,6.0,0.0446,302,454217,,,"FEZ1,HMOX1,IL1RN,MARCKS,SERPINE2,TAGLN2,YKT6"
pelitinib,BRD-K08799216,HCC515,1.11,24,0.0446,201,6445562,,"CCNE2,MYBL1","APOD,CLU,HMOX1,PLBD1,SHMT2"
JAK3 Inhibitor VI,BRD-K04546108,PC3,10.0,6.0,0.0382,242,9947841,,"CAB39,FGF13","APOD,CAMP,PLBD1,SPRY1,TMEM158"
Camptothecin,BRD-A30437061,HA1E,10.0,24.0,0.0382,371,2538,,"CAP2,DENND5A,MBNL1,PDLIM5","CLU,IL1RN,SPRY1,TMEM158"
Rottlerin,BRD-K39256324,HA1E,10.0,24.0,0.0382,269,5281847,,"CCNE2,DENND5A,MYBL1,PNMA1","GOLT1B,SRPRB"
Indirubin-3-oxime,BRD-K53959060,A375,10.0,24.0,0.0382,192,5326739,,FOXO4,"CRABP1,HMOX1,SHMT2,SLC3A2,SRPRB"
geldanamycin,BRD-A19500257,A375,10.0,24.0,0.0382,413,13017911,,"CBFB,CCNE2,FGF13,MYBL1,PPP3CA","FEZ1,HSPD1"
TENIPOSIDE,BRD-A35588707,HA1E,1.25,24.0,0.0382,363,6708778,,"CAT,DENND5A,MBNL1","BLCAP,FEZ1,HMOX1,IL1RN"
-666,BRD-K68548958,HA1E,20.0,24.0,0.0382,485,1285940,,DENND5A,"CRABP1,FEZ1,HMOX1,HSPD1,PLBD1,SNX10,SPRY1,TMEM158"
-666,BRD-A36630025,HA1E,0.35,6.0,0.0382,127,4014291,,"MBNL1,PPP3CA","CLU,IL1RN,SPRY1,TMEM158"
GW405833 hydrochloride,BRD-K10705233,HA1E,40.0,6.0,0.0382,116,9911463,,"CCNE2,MYBL1,PDLIM5","HMOX1,SHMT2,SLC3A2"
Pimozide,BRD-K01292756,HT29,10.0,24.0,0.0382,373,16362,DB01100,"CBFB,CCNE2,MYBL1,SRSF2","APOD,HMOX1,SHMT2,SLC3A2,TSPAN31"
Valdecoxib,BRD-K12994359,HT29,177.6,24.0,0.0382,256,119607,,"CBFB,CCNE2,MBNL1,SRSF2","HMOX1,SHMT2,SLC3A2"
Rottlerin,BRD-K03816923,MCF7,9.68,24.0,0.0382,356,5281847,,"CCNE2,MYBL1,SRSF2","HMOX1,SHMT2,SLC3A2"
"L-690,488",BRD-K69328504,MCF7,10.0,24.0,0.0382,264,5132514,,SRSF2,"HMOX1,PLBD1,SLC3A2,SPRY1,TAGLN2,TMEM158"
CAY10618,BRD-K83289131,MCF7,10.0,24.0,0.0382,215,44819697,,"ALDH9A1,CCNE2,MYBL1","HMOX1,SHMT2,SLC3A2"
Importazole,BRD-A02481876,PL21,60.0,6.0,0.0382,215,2949965,,"CAB39,ERG,MBNL1,TMEM87A","MARCKS,PLBD1"
89671,BRD-A31107743,VCAP,0.09,24.0,0.0382,518,5353446,,"NEFH,PPP3CA,WWP1","CLU,FEZ1,GOLT1B,GORASP2,HMOX1,SLC3A2,SRPRB,YKT6"
-666,BRD-K52075040,VCAP,44.4,24.0,0.0382,297,5282054,DB01034,,"APOD,FEZ1,HMOX1,MARCKS,PLBD1,PRR13,SLC3A2"
geldanamycin,BRD-A19500257,A375,10.0,24.0,0.0382,358,13017911,,"CBFB,CCNE2,DENND5A,FGF13,MYBL1","CLU,CRABP1,FEZ1"
-666,BRD-K39829853,MCF7,10.0,24.0,0.0382,175,53338811,,"CCNE2,MYBL1","APOD,HMOX1,PLBD1,SLC3A2"
S-8599,BRD-K49810818,MCF7,10.0,24.0,0.0382,163,10173949,,"CCNE2,PPP3CA,SRSF2","HMOX1,SHMT2,SLC3A2"
-666,BRD-A30437061,A549,10.0,6.0,0.0382,212,2538,,"FGF13,MBNL1,PDLIM5,PPP3CA,WWP1","SPRY1,TAGLN2"
-666,BRD-K37392901,A375,10.0,6.0,0.0382,246,6477762,,CCNE2,"CLU,HMOX1,HSPD1,SLC3A2,TMEM158"
JNK-IN-5A,BRD-K76401790,MCF7,1.11,24,0.0382,230,,,CCNE2,"CD27,CLU,PLBD1,TBC1D4,TMEM158"
WZ-4-145,BRD-U61997977,HME1,10,24,0.0382,318,,,"CBFB,MYBL1,PPP3CA","CLU,CRABP1,GOLT1B,HMOX1,HSPD1"
radicicol,BRD-A39996500,SKBR3,0.37,24,0.0382,198,5311380,,"CCNE2,MYBL1","HMOX1,HSPD1,PLBD1,PPID"
T 98475,BRD-K62221994,HA1E,10.0,24.0,0.0318,186,9874838,,"CAP2,CELF2","CLU,HMOX1,IL1RN"
trichostatin A,BRD-A19037878,HA1E,10.0,6.0,0.0318,245,6376322,,"CBFB,PDLIM5","CRABP1,FEZ1,SERPINE2"
Syrosingopine,BRD-K14200658,HA1E,10.0,6.0,0.0318,143,6769,,"NEFH,PDLIM5","CLU,HMOX1,PLBD1"
Mibefradil dihydrochloride,BRD-K09549677,HCC515,10.0,24.0,0.0318,231,60663,,"CBFB,PPP3CA","APOD,HMOX1,WLS"
NSC 632839 hydrochloride,BRD-K37392901,VCAP,10.0,24.0,0.0318,303,6477762,,"CCNE2,PPP3CA","HMOX1,HSPD1,PLBD1,SLC3A2"
NONOXYNOL-9,BRD-K88625236,VCAP,10.0,24.0,0.0318,154,72385,DB06804,,"APOD,CLU,SERPINE2,SHMT2,SLC3A2"
TENIPOSIDE,BRD-A35588707,HA1E,10.0,6.0,0.0318,225,6708778,,MBNL1,"BLCAP,CAMP,HMOX1,IL1RN,TMEM158"
PIPAMPERONE,BRD-K26801045,HCC515,10.0,24.0,0.0318,168,4830,,CELF2,"BID,CAMP,MMP2,TMEM158"
BITHIONATE SODIUM,BRD-K39120595,PC3,10.0,6.0,0.0318,94,2406,,,"HMOX1,IL1RN,SERPINE2,SHMT2,SLC3A2"
geldanamycin,BRD-A19500257,A375,10.0,24.0,0.0318,306,13017911,,"CCNE2,FGF13,MYBL1,PPP3CA","CLU,HSPD1"
Etoposide,BRD-A18419789,HA1E,10.0,24.0,0.0318,284,44483274,,"DENND5A,MBNL1","ALDH7A1,BLCAP,HMOX1"
vorinostat,BRD-K81418486,MCF7,10.0,6.0,0.0318,222,5311,DB02546,CBFB,"HMOX1,SERPINE2,TMEM158,WDTC1,WLS"
QUINACRINE HYDROCHLORIDE,BRD-A45889380,A375,10.0,24.0,0.0318,390,23581813,,"CBFB,CCNE2","BLCAP,HMOX1,TSPAN31"
-666,BRD-K15563106,A375,177.6,24.0,0.0318,360,4788,,"CBFB,CCNE2,FGF13,MBNL1,SRSF2","CRABP1,HMOX1,IFT27"
