drug,approved,odds_ratio,pvalue,adj_pvalue,pvalue_up,adj_pvalue_up,pvalue_down,adj_pvalue_down,count_significant,count_insignificant,count_up_significant
calcitriol,True,0.006432522306943703,1.0000000171442354,1,0.003824659891692372,0.10128816225462028,1.0000000000029547,1,8,1326,8
imatinib,True,0.005079286621603625,1.0000000245022356,1,0.003841627941276226,0.10128816225462028,1.0000000000006402,1,8,1678,8
fulvestrant,True,0.0049432572582114595,1.000000024132298,1,0.003843337749232326,0.10128816225462028,0.9999999999967317,1,8,1724,8
efavirenz,True,0.02020340306319607,0.9999999942842247,1,0.007385343252872496,0.16938531592679393,1.0000000000003129,1,7,373,7
amitriptyline,True,0.018072291098415065,0.9999999949304245,1,0.0074292407456773525,0.16938531592679393,0.9999999999993188,1,7,417,7
ziprasidone,True,0.017986044449932487,0.9999999951059283,1,0.007431022745174962,0.16938531592679393,0.9999999999996134,1,7,419,7
olmesartan-medoxomil,True,0.016710014301840315,0.9999999931040003,1,0.0074574374283062905,0.16938531592679393,0.9999999999997347,1,7,451,7
risperidone,True,0.013878418882367608,1.0000000002780198,1,0.007516387806110722,0.16938531592679393,0.9999999999996038,1,7,543,7
benazepril,True,0.013105728015814106,1.000000000800444,1,0.007532554766260561,0.16938531592679393,1.00000000000019,1,7,575,7
regorafenib,True,0.010306968283602676,1.0000000113238183,1,0.00759140372974665,0.16938531592679393,1.0000000000004865,1,7,731,7
RITA,True,0.008341406785917884,1.00000001182895,1,0.007633007067733197,0.16938531592679393,1.0000000000001599,1,7,903,7
digoxin,True,0.008213852668322105,1.000000007785978,1,0.007635714741848557,0.16938531592679393,1.0000000000015676,1,7,917,7
lorazepam,True,0.007708576182032942,1.0000000079200257,1,0.007646449996110211,0.16938531592679393,1.0000000000010802,1,7,977,7
selumetinib,True,0.0033605727553405774,1.0000000171554546,1,0.00773945390929201,0.16938531592679393,1.0000000000015075,1,7,2235,7
vinorelbine,True,0.06384429489425121,0.99999999644736,1,0.013496960348424625,0.2669216921682224,0.9999999999998956,1,6,102,6
methylphenidate,True,0.04076721665337161,0.9999999924967763,1,0.014230634662755043,0.2669216921682224,1.0000000000002847,1,6,160,6
gemifloxacin,True,0.020032333289134063,0.999999995553234,1,0.014923368518134932,0.2669216921682224,0.9999999999995686,1,6,326,6
lurasidone,True,0.01727806650111658,0.9999999938515821,1,0.015017869058322414,0.2669216921682224,1.0000000000004106,1,6,378,6
