gene,ensembl_id,drug_id,drug_name,disease_id,disease_name,phase,mechanism_of_action
AURKB,ENSG00000178999,CHEMBL482968,ENMD-2076,MONDO_0015667;MONDO_0005494;MONDO_0008170;MONDO_0005494;MONDO_0018078;MONDO_0005004;MONDO_0006210;MONDO_0007256;MONDO_0005575;MONDO_0009693;MONDO_0044881,acute myeloid leukemia by FAB classification;triple-negative breast carcinoma;ovarian cancer;triple-negative breast carcinoma;soft tissue sarcoma;clear cell adenocarcinoma;fibrolamellar hepatocellular carcinoma;hepatocellular carcinoma;colorectal cancer;plasma cell myeloma;hematopoietic and lymphoid cell neoplasm,PHASE_2,
AURKB,ENSG00000178999,CHEMBL3544932,TAK-901,MONDO_0044881;MONDO_0005062,hematopoietic and lymphoid cell neoplasm;lymphoma,PHASE_1,
AURKB,ENSG00000178999,CHEMBL1908397,KW-2449,MONDO_0015667;MONDO_0018874;MONDO_0018881;MONDO_0004967;MONDO_0011996;MONDO_0018874,"acute myeloid leukemia by FAB classification;acute myeloid leukemia;myelodysplastic syndrome;acute lymphoblastic leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;acute myeloid leukemia",PHASE_1,
AURKB,ENSG00000178999,CHEMBL2140408,AMG-900,MONDO_0008170;MONDO_0005494;MONDO_0008315;MONDO_0018874,ovarian cancer;triple-negative breast carcinoma;prostate cancer;acute myeloid leukemia,PHASE_1,
AURKB,ENSG00000178999,CHEMBL3545378,MK-6592,,,PHASE_1,
AURKB,ENSG00000178999,CHEMBL1090479,GSK-1070916,,,PHASE_1,
AURKB,ENSG00000178999,CHEMBL4289017,PF-03814735,,,PHASE_1,
AURKB,ENSG00000178999,CHEMBL1980297,ILORASERTIB,MONDO_0011908;MONDO_0018874;MONDO_0018881,juvenile myelomonocytic leukemia;acute myeloid leukemia;myelodysplastic syndrome,PHASE_2,
AURKB,ENSG00000178999,CHEMBL1967878,CENISERTIB,MONDO_0005070;MONDO_0044881;MONDO_0005138;MONDO_0005575;MONDO_0007256,neoplasm;hematopoietic and lymphoid cell neoplasm;lung carcinoma;colorectal cancer;hepatocellular carcinoma,PHASE_1,
AURKB,ENSG00000178999,CHEMBL572878,TOZASERTIB,MONDO_0005233;MONDO_0011996;MONDO_0004967;MONDO_0005575,"non-small cell lung carcinoma;chronic myelogenous leukemia, BCR-ABL1 positive;acute lymphoblastic leukemia;colorectal cancer",PHASE_2,
AURKB,ENSG00000178999,CHEMBL495727,AT-9283,MONDO_0009693;MONDO_0004967;MONDO_0800305;MONDO_0018881;MONDO_0018874;MONDO_0011996;MONDO_0018908;MONDO_0010643,"plasma cell myeloma;acute lymphoblastic leukemia;myelofibrosis with myeloid metaplasia;myelodysplastic syndrome;acute myeloid leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;non-Hodgkin lymphoma;acute leukemia",PHASE_3,
AURKB,ENSG00000178999,CHEMBL402548,DANUSERTIB,MONDO_0008315;MONDO_0011996;MONDO_0009693,"prostate cancer;chronic myelogenous leukemia, BCR-ABL1 positive;plasma cell myeloma",PHASE_2,
