gene,ensembl_id,drug_id,drug_name,disease_id,disease_name,phase,mechanism_of_action
JAK1,ENSG00000162434,CHEMBL221959,TOFACITINIB,MONDO_0008383;MONDO_0008383;EFO_1001494;MONDO_0005101;MONDO_0011849;MONDO_0019434;MONDO_0019437;MONDO_0011429;MONDO_0005083;MONDO_0005306;MONDO_0006502;MONDO_0100096;MONDO_0012105;MONDO_0018177;MONDO_0017991;MONDO_0019735;MONDO_0019080;Orphanet_701;MONDO_0005340;MONDO_0018456;MONDO_0015597;MONDO_0005306;MONDO_0005446;MONDO_0005011;MONDO_0005083;MONDO_0004980;MONDO_0001718;MONDO_0020283;MP_0001845;MONDO_0021113;MONDO_0005249;MONDO_0005312;MONDO_0010030;MONDO_0015925;MONDO_0018905;MONDO_0016367;MONDO_0021167;EFO_0009659;MONDO_0005100;MONDO_0004496;MONDO_0000607;MONDO_0004967;MONDO_0008608;MONDO_0005282;MONDO_0007915;MONDO_0002009;MONDO_0010030;MONDO_0018305;MONDO_0005265;EFO_1001494;MONDO_0019338;MONDO_0001708;MONDO_0019338;MONDO_0006554;MONDO_0006047;MONDO_0008661;MONDO_0019558;MONDO_0009688;MONDO_0019810;MONDO_0004976;EFO_0008532;MONDO_0015492;MONDO_0005095;MONDO_0017287;MONDO_0019436;MONDO_0026045;EFO_0009855;EFO_0009856;MONDO_0018229;HP_0001369;MONDO_0008523;MONDO_0006559;MONDO_0004907,rheumatoid arthritis;rheumatoid arthritis;psoriasis vulgaris;ulcerative colitis;psoriatic arthritis;systemic-onset juvenile idiopathic arthritis;enthesitis-related juvenile idiopathic arthritis;juvenile idiopathic arthritis;psoriasis;ankylosing spondylitis;acute respiratory distress syndrome;COVID-19;granulomatosis with polyangiitis;glioblastoma;Takayasu arteritis;polymyalgia rheumatica;alopecia totalis;Alopecia universalis;alopecia areata;polyarticular juvenile idiopathic arthritis;palmoplantar pustulosis;ankylosing spondylitis;cutaneous leishmaniasis;Crohn disease;psoriasis;atopic eczema;scleritis;uveitis;inflammation;respiratory failure;pneumonia;pouchitis;Sjogren syndrome;interstitial lung disease;diffuse large B-cell lymphoma;dermatomyositis;myositis disease;aneurysm;systemic sclerosis;myocarditis;primary cutaneous T-cell non-Hodgkin lymphoma;acute lymphoblastic leukemia;Down syndrome;cutaneous lupus erythematosus;systemic lupus erythematosus;major depressive disorder;Sjogren syndrome;chronic granulomatous disease;inflammatory bowel disease;psoriasis vulgaris;sarcoidosis;pulmonary sarcoidosis;sarcoidosis;granuloma annulare;pancreatic adenocarcinoma;vitiligo;discoid lupus erythematosus;myasthenia gravis;toxic epidermal necrolysis;amyotrophic lateral sclerosis;clinically amyopathic dermatomyositis;anti-neutrophil cytoplasmic antibody-associated vasculitis;spondyloarthropathy;immunoglobulin G4-related sclerosing disease;psoriasis-related juvenile idiopathic arthritis;prurigo nodularis;frontal fibrosing alopecia;lichen planopilaris;Stevens-Johnson syndrome;Arthritis;Blau syndrome;hidradenitis suppurativa;alopecia,APPROVAL,
JAK1,ENSG00000162434,CHEMBL1789941,RUXOLITINIB,MONDO_0005029;MONDO_0044903;HP_0000964;EFO_0004251;MONDO_0013730;MONDO_0009891;MONDO_0005070;MONDO_0013730;MONDO_0020547;MONDO_0009831;MONDO_0009692;MONDO_0044903;MONDO_0044903;MONDO_0006047;MONDO_0005192;MONDO_0020546;MONDO_0015540;MONDO_0004980;MONDO_0008661;MONDO_0100096;MONDO_0006502;MONDO_0020546;MONDO_0015545;EFO_0022959;MONDO_0026045;MONDO_0006559;MONDO_0000872;MONDO_0020511;MONDO_0004963;MONDO_0000814;MONDO_0044917;MONDO_0020511;MONDO_0003539;MONDO_0004967;MONDO_0004967;MONDO_0100096;MONDO_0015691;MONDO_0008383;EFO_1001494;MONDO_0008315;MONDO_0009693;MONDO_0018874;MONDO_0000873;MONDO_0006047;MONDO_0007254;MONDO_0018874;MONDO_0009348;MONDO_0005340;MONDO_0004952;MONDO_0005062;MONDO_0000984;HP_0004326;MONDO_0004992;MONDO_0005233;MONDO_0005575;MONDO_0015540;MONDO_0006804;MONDO_0002280;MONDO_0009691;MONDO_0000430;MONDO_0019469;MONDO_0010150;MONDO_0018881;MONDO_0011996;MONDO_0015265;MONDO_0006572;MONDO_0020311;MONDO_0000430;MONDO_0019471;MONDO_0004952;MONDO_0020076;MONDO_0020076;MONDO_0005091;MONDO_0006583;MONDO_0004992;EFO_1001927;MONDO_0019558;MONDO_0015265;MONDO_0004947;MONDO_0004496;MONDO_0009411;MONDO_0020547;MONDO_0005170;MONDO_0006572;MONDO_0006570;HP_0100727;MONDO_0006608;MONDO_0004653;MONDO_0011908;HP_0000964;EFO_0004952;MONDO_0007827;MONDO_0013730;MONDO_0018881;MONDO_0016367;MONDO_0020546;MONDO_0018177;MONDO_0005170;MONDO_0000607;MONDO_0004967;MONDO_0019471;MONDO_0004948;MONDO_0005494;MONDO_0006244;MONDO_0005061;MONDO_0010643;MONDO_0006311;MONDO_0005062;MONDO_0044881;MONDO_0005070;MONDO_0004967;EFO_0004251;MONDO_0018905;MONDO_0004963;MONDO_0002406;MONDO_0019100;MONDO_0011208;EFO_0006927;MONDO_0044903;MONDO_0044903;MONDO_0009891;MONDO_0005029;MONDO_0012197;MONDO_0005233;MONDO_0005086;MONDO_0011382;MONDO_0019468;MONDO_0005059;MONDO_0006311;MONDO_0018908;MONDO_0015759;MONDO_0015760;MONDO_0006247;MONDO_0000448;MONDO_0044881;MONDO_0005170;MONDO_0005065;MONDO_0005012;MONDO_0005184;EFO_0004251;MONDO_0005005;MONDO_0005008;MONDO_0005571;MONDO_0005082;MONDO_0018866;Orphanet_51,"essential thrombocythemia;myelofibrosis;Eczematoid dermatitis;myeloproliferative disorder;graft versus host disease;acquired polycythemia vera;neoplasm;graft versus host disease;chronic graft versus host disease;malignant pancreatic neoplasm;primary myelofibrosis;myelofibrosis;myelofibrosis;pancreatic adenocarcinoma;exocrine pancreatic carcinoma;acute graft versus host disease;hemophagocytic syndrome;atopic eczema;vitiligo;COVID-19;acute respiratory distress syndrome;acute graft versus host disease;macrophage activation syndrome;hand eczema;prurigo nodularis;hidradenitis suppurativa;B-cell childhood acute lymphoblastic leukemia;precursor B-cell acute lymphoblastic leukemia;T-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;T-lymphoblastic lymphoma;precursor B-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;acute lymphoblastic leukemia;acute lymphoblastic leukemia;COVID-19;hypereosinophilic syndrome;rheumatoid arthritis;psoriasis vulgaris;prostate cancer;plasma cell myeloma;acute myeloid leukemia;lymphoblastic lymphoma;pancreatic adenocarcinoma;breast cancer;acute myeloid leukemia;classic Hodgkin lymphoma;alopecia areata;Hodgkins lymphoma;lymphoma;thalassemia;Cachexia;cancer;non-small cell lung carcinoma;colorectal cancer;hemophagocytic syndrome;inflammatory breast carcinoma;anemia;mycosis fungoides;mature T-cell and NK-cell non-Hodgkin lymphoma;T-cell large granular lymphocyte leukemia;head and neck squamous cell carcinoma;myelodysplastic syndrome;chronic myelogenous leukemia, BCR-ABL1 positive;bronchiolitis obliterans syndrome;lichen planus;chronic myelomonocytic leukemia;mature T-cell and NK-cell non-Hodgkin lymphoma;adult T-cell leukemia/lymphoma;Hodgkins lymphoma;myeloproliferative neoplasm;myeloproliferative neoplasm;severe acute respiratory syndrome;necrobiosis lipoidica;cancer;cutaneous squamous cell carcinoma;discoid lupus erythematosus;bronchiolitis obliterans syndrome;B-cell acute lymphoblastic leukemia;myocarditis;autoimmune polyendocrine syndrome type 1;chronic graft versus host disease;myeloid neoplasm;lichen planus;lichen disease;Histiocytosis;seborrheic dermatitis;atypical chronic myeloid leukemia, BCR-ABL1 negative;juvenile myelomonocytic leukemia;Eczematoid dermatitis;disease recurrence;inclusion body myositis;graft versus host disease;myelodysplastic syndrome;dermatomyositis;acute graft versus host disease;glioblastoma;myeloid neoplasm;primary cutaneous T-cell non-Hodgkin lymphoma;acute lymphoblastic leukemia;adult T-cell leukemia/lymphoma;B-cell chronic lymphocytic leukemia;triple-negative breast carcinoma;HER2 positive breast carcinoma;lung adenocarcinoma;acute leukemia;myelodysplastic/myeloproliferative neoplasm;lymphoma;hematopoietic and lymphoid cell neoplasm;neoplasm;acute lymphoblastic leukemia;myeloproliferative disorder;diffuse large B-cell lymphoma;T-cell acute lymphoblastic leukemia;dermatitis;neuromyelitis optica;malignant atrophic papulosis;severe aplastic anemia;myelofibrosis;myelofibrosis;acquired polycythemia vera;essential thrombocythemia;idiopathic aplastic anemia;non-small cell lung carcinoma;renal cell carcinoma;sickle cell disease;T-cell prolymphocytic leukemia;leukemia;myelodysplastic/myeloproliferative neoplasm;non-Hodgkin lymphoma;B-cell non-Hodgkin lymphoma;T-cell non-Hodgkin lymphoma;histiocytic and dendritic cell neoplasm;paraganglioma;hematopoietic and lymphoid cell neoplasm;myeloid neoplasm;mesothelioma;cutaneous melanoma;pancreatic ductal adenocarcinoma;myeloproliferative disorder;clear cell renal carcinoma;colorectal adenocarcinoma;polycythemia;prostate adenocarcinoma;Aicardi-Goutieres syndrome;Aicardi-Goutières syndrome",APPROVAL,
JAK1,ENSG00000162434,CHEMBL4577523,GOLIDOCITINIB,MONDO_0000430;MONDO_0004964;MONDO_0004977;MONDO_0015540;MONDO_0005233;MONDO_0000430;MONDO_0019473;MONDO_0008433;EFO_0011051;MONDO_0015909;MONDO_0015760;MONDO_0005070;MONDO_0007179,"mature T-cell and NK-cell non-Hodgkin lymphoma;peripheral T-cell lymphoma, not otherwise specified;angioimmunoblastic T-cell lymphoma;hemophagocytic syndrome;non-small cell lung carcinoma;mature T-cell and NK-cell non-Hodgkin lymphoma;enteropathy-associated T-cell lymphoma;small cell lung carcinoma;hematological toxicity;aplastic anemia;T-cell non-Hodgkin lymphoma;neoplasm;autoimmune disease",PHASE_3,
JAK2,ENSG00000096968,CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,EFO_0004251;MONDO_0009692;MONDO_0044903,myeloproliferative disorder;primary myelofibrosis;myelofibrosis,APPROVAL,
JAK2,ENSG00000096968,CHEMBL2107823,GANDOTINIB,MONDO_0007254;MONDO_0020076;MONDO_0005029;MONDO_0009891;MONDO_0044903;MONDO_0009692;MONDO_0020076,breast cancer;myeloproliferative neoplasm;essential thrombocythemia;acquired polycythemia vera;myelofibrosis;primary myelofibrosis;myeloproliferative neoplasm,PHASE_2,
JAK2,ENSG00000096968,CHEMBL3545328,XL-019,MONDO_0009891;MONDO_0044903,acquired polycythemia vera;myelofibrosis,PHASE_3,
JAK2,ENSG00000096968,CHEMBL495727,AT-9283,MONDO_0009693;MONDO_0004967;MONDO_0800305;MONDO_0018881;MONDO_0018874;MONDO_0011996;MONDO_0018908;MONDO_0010643,"plasma cell myeloma;acute lymphoblastic leukemia;myelofibrosis with myeloid metaplasia;myelodysplastic syndrome;acute myeloid leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;non-Hodgkin lymphoma;acute leukemia",PHASE_3,
JAK2,ENSG00000096968,CHEMBL3545215,BMS-911543,MONDO_0044903,myelofibrosis,PHASE_2,
JAK2,ENSG00000096968,CHEMBL5315119,UPADACITINIB HEMIHYDRATE,MONDO_0008383;MONDO_0005101,rheumatoid arthritis;ulcerative colitis,APPROVAL,
JAK2,ENSG00000096968,CHEMBL1944698,ZOTIRACICLIB,MONDO_0016684;MONDO_0018177;MONDO_0016681;MONDO_0004948;MONDO_0004948;MONDO_0005575;MONDO_0007256;MONDO_0021042;MONDO_0002334;MONDO_0005070,anaplastic astrocytoma;glioblastoma;gliosarcoma;B-cell chronic lymphocytic leukemia;B-cell chronic lymphocytic leukemia;colorectal cancer;hepatocellular carcinoma;glioma;hematopoietic and lymphoid system neoplasm;neoplasm,PHASE_1_2,
JAK2,ENSG00000096968,CHEMBL4303389,NS-018,MONDO_0044903;MONDO_0009692;MONDO_0044903;MONDO_0044903;MONDO_0044903,myelofibrosis;primary myelofibrosis;myelofibrosis;myelofibrosis;myelofibrosis,PHASE_2,
JAK2,ENSG00000096968,CHEMBL2103743,TOFACITINIB CITRATE,MONDO_0011849;MONDO_0008383;Orphanet_701;MONDO_0019080;MONDO_0005340,psoriatic arthritis;rheumatoid arthritis;Alopecia universalis;alopecia totalis;alopecia areata,APPROVAL,
JAK2,ENSG00000096968,CHEMBL603469,LESTAURTINIB,MONDO_0015667;MONDO_0004643;MONDO_0004967;EFO_1001494;MONDO_0018874;MONDO_0008315;MONDO_0005083;MONDO_0009693;MONDO_0044903;MONDO_0005029;MONDO_0009891;MONDO_0005072,acute myeloid leukemia by FAB classification;myeloid leukemia;acute lymphoblastic leukemia;psoriasis vulgaris;acute myeloid leukemia;prostate cancer;psoriasis;plasma cell myeloma;myelofibrosis;essential thrombocythemia;acquired polycythemia vera;neuroblastoma,APPROVAL,
JAK2,ENSG00000096968,CHEMBL2035187,PACRITINIB,MONDO_0044903;MONDO_0005070;MONDO_0044903;MONDO_0044903;MONDO_0009692;MONDO_0044903;MONDO_0018906;MONDO_0004948;MONDO_0017604;MONDO_0000432;MONDO_0018876;MONDO_0004952;MONDO_0018881;MONDO_0004967;MONDO_0018874;MONDO_0005575;MONDO_0020076;MONDO_0018881;MONDO_0018874;MONDO_0100096;MONDO_0008315;MONDO_0017844;MONDO_0000607;MONDO_0000430;MONDO_0009691;MONDO_0004977;MONDO_0026777;MONDO_0100280;MONDO_0020311;HP_0001873;MONDO_0002280;MONDO_0005170;MONDO_0009692;MONDO_0004948;MONDO_0007254;MONDO_0020547;MONDO_0006311;MONDO_0005061;MONDO_0018908;MONDO_0004952;MONDO_0005233;MONDO_0016537;MONDO_0026777,myelofibrosis;neoplasm;myelofibrosis;myelofibrosis;primary myelofibrosis;myelofibrosis;follicular lymphoma;B-cell chronic lymphocytic leukemia;marginal zone lymphoma;lymphoplasmacytic lymphoma;mantle cell lymphoma;Hodgkins lymphoma;myelodysplastic syndrome;acute lymphoblastic leukemia;acute myeloid leukemia;colorectal cancer;myeloproliferative neoplasm;myelodysplastic syndrome;acute myeloid leukemia;COVID-19;prostate cancer;Sezary syndrome;primary cutaneous T-cell non-Hodgkin lymphoma;mature T-cell and NK-cell non-Hodgkin lymphoma;mycosis fungoides;angioimmunoblastic T-cell lymphoma;VEXAS syndrome;Waldenstrom macroglobulinemia;chronic myelomonocytic leukemia;Thrombocytopenia;anemia;myeloid neoplasm;primary myelofibrosis;B-cell chronic lymphocytic leukemia;breast cancer;chronic graft versus host disease;myelodysplastic/myeloproliferative neoplasm;lung adenocarcinoma;non-Hodgkin lymphoma;Hodgkins lymphoma;non-small cell lung carcinoma;lymphoproliferative syndrome;VEXAS syndrome,APPROVAL,
JAK2,ENSG00000096968,CHEMBL4298167,FILGOTINIB MALEATE,MONDO_0008383;MP_0001845;MONDO_0007179,rheumatoid arthritis;inflammation;autoimmune disease,APPROVAL,
JAK2,ENSG00000096968,CHEMBL4802163,NEZULCITINIB,MONDO_0100096;MONDO_0015796;MONDO_0100096,COVID-19;acute lung injury;COVID-19,PHASE_2,
JAK2,ENSG00000096968,CHEMBL4594382,DEURUXOLITINIB PHOSPHATE,MONDO_0005340,alopecia areata,APPROVAL,
JAK2,ENSG00000096968,CHEMBL5095049,PACRITINIB CITRATE,MONDO_0009692;MONDO_0009891,primary myelofibrosis;acquired polycythemia vera,APPROVAL,
JAK2,ENSG00000096968,CHEMBL3545241,AC-430,MONDO_0004355,childhood leukemia,PHASE_1,
JAK2,ENSG00000096968,CHEMBL1287853,FEDRATINIB,MONDO_0009891;MONDO_0044903;MONDO_0005070;MONDO_0009692;MONDO_0044903;MONDO_0044903;MONDO_0005029;MONDO_0020076;MONDO_0006311;MONDO_0019451,acquired polycythemia vera;myelofibrosis;neoplasm;primary myelofibrosis;myelofibrosis;myelofibrosis;essential thrombocythemia;myeloproliferative neoplasm;myelodysplastic/myeloproliferative neoplasm;chronic neutrophilic leukemia,APPROVAL,
JAK2,ENSG00000096968,CHEMBL2035185,CT-1578,,,PHASE_1,
JAK2,ENSG00000096968,CHEMBL4297507,DELGOCITINIB,MONDO_0004980;HP_0000964;MONDO_0004980;HP_0000964;MONDO_0002406;EFO_0022959;HP_0000964;MONDO_0007899;MONDO_0004979;MONDO_0005340;MONDO_0005083;MONDO_0019558;EFO_0009855;MONDO_0015597;EFO_0009856;MONDO_0022113,atopic eczema;Eczematoid dermatitis;atopic eczema;Eczematoid dermatitis;dermatitis;hand eczema;Eczematoid dermatitis;lichen sclerosus et atrophicus;asthma;alopecia areata;psoriasis;discoid lupus erythematosus;frontal fibrosing alopecia;palmoplantar pustulosis;lichen planopilaris;central centrifugal cicatricial alopecia,APPROVAL,
JAK2,ENSG00000096968,CHEMBL1231124,AZD-1480,MONDO_0009692;MONDO_0004992;MONDO_0001056;MONDO_0007256;MONDO_0005233,primary myelofibrosis;cancer;gastric cancer;hepatocellular carcinoma;non-small cell lung carcinoma,PHASE_2,
JAK2,ENSG00000096968,CHEMBL6068336,MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,MONDO_0044903;HP_0001744;EFO_0004251,myelofibrosis;Splenomegaly;myeloproliferative disorder,APPROVAL,
JAK2,ENSG00000096968,CHEMBL3622821,UPADACITINIB,MONDO_0008383;MONDO_0004980;MONDO_0005101;MONDO_0005011;MONDO_0011849;MONDO_0008538;MONDO_0008383;MONDO_0005306;MONDO_0011849;MONDO_0005101;MONDO_0005011;MONDO_0004980;MONDO_0017991;MONDO_0005306;MONDO_0019434;MONDO_0007915;MONDO_0006559;MONDO_0005340;MONDO_0008661;HP_0002360;HP_0002094;HP_0012378;HP_0002098;HP_0100543;MONDO_0010030;MONDO_0008558;MONDO_0007191;EFO_0009856;MONDO_0005361;MONDO_0019125;MONDO_0011429;HP_0010447;MONDO_0005083;MONDO_0005265;MONDO_0015925;MONDO_0005011,rheumatoid arthritis;atopic eczema;ulcerative colitis;Crohn disease;psoriatic arthritis;temporal arteritis;rheumatoid arthritis;ankylosing spondylitis;psoriatic arthritis;ulcerative colitis;Crohn disease;atopic eczema;Takayasu arteritis;ankylosing spondylitis;systemic-onset juvenile idiopathic arthritis;systemic lupus erythematosus;hidradenitis suppurativa;alopecia areata;vitiligo;Sleep disturbance;Dyspnea;Fatigue;Respiratory distress;Cognitive impairment;Sjogren syndrome;autoimmune thrombocytopenic purpura;Behcet disease;lichen planopilaris;eosinophilic esophagitis;relapsing polychondritis;juvenile idiopathic arthritis;Anal fistula;psoriasis;inflammatory bowel disease;interstitial lung disease;Crohn disease,APPROVAL,
JAK2,ENSG00000096968,CHEMBL1789941,RUXOLITINIB,MONDO_0005029;MONDO_0044903;HP_0000964;EFO_0004251;MONDO_0013730;MONDO_0009891;MONDO_0005070;MONDO_0013730;MONDO_0020547;MONDO_0009831;MONDO_0009692;MONDO_0044903;MONDO_0044903;MONDO_0006047;MONDO_0005192;MONDO_0020546;MONDO_0015540;MONDO_0004980;MONDO_0008661;MONDO_0100096;MONDO_0006502;MONDO_0020546;MONDO_0015545;EFO_0022959;MONDO_0026045;MONDO_0006559;MONDO_0000872;MONDO_0020511;MONDO_0004963;MONDO_0000814;MONDO_0044917;MONDO_0020511;MONDO_0003539;MONDO_0004967;MONDO_0004967;MONDO_0100096;MONDO_0015691;MONDO_0008383;EFO_1001494;MONDO_0008315;MONDO_0009693;MONDO_0018874;MONDO_0000873;MONDO_0006047;MONDO_0007254;MONDO_0018874;MONDO_0009348;MONDO_0005340;MONDO_0004952;MONDO_0005062;MONDO_0000984;HP_0004326;MONDO_0004992;MONDO_0005233;MONDO_0005575;MONDO_0015540;MONDO_0006804;MONDO_0002280;MONDO_0009691;MONDO_0000430;MONDO_0019469;MONDO_0010150;MONDO_0018881;MONDO_0011996;MONDO_0015265;MONDO_0006572;MONDO_0020311;MONDO_0000430;MONDO_0019471;MONDO_0004952;MONDO_0020076;MONDO_0020076;MONDO_0005091;MONDO_0006583;MONDO_0004992;EFO_1001927;MONDO_0019558;MONDO_0015265;MONDO_0004947;MONDO_0004496;MONDO_0009411;MONDO_0020547;MONDO_0005170;MONDO_0006572;MONDO_0006570;HP_0100727;MONDO_0006608;MONDO_0004653;MONDO_0011908;HP_0000964;EFO_0004952;MONDO_0007827;MONDO_0013730;MONDO_0018881;MONDO_0016367;MONDO_0020546;MONDO_0018177;MONDO_0005170;MONDO_0000607;MONDO_0004967;MONDO_0019471;MONDO_0004948;MONDO_0005494;MONDO_0006244;MONDO_0005061;MONDO_0010643;MONDO_0006311;MONDO_0005062;MONDO_0044881;MONDO_0005070;MONDO_0004967;EFO_0004251;MONDO_0018905;MONDO_0004963;MONDO_0002406;MONDO_0019100;MONDO_0011208;EFO_0006927;MONDO_0044903;MONDO_0044903;MONDO_0009891;MONDO_0005029;MONDO_0012197;MONDO_0005233;MONDO_0005086;MONDO_0011382;MONDO_0019468;MONDO_0005059;MONDO_0006311;MONDO_0018908;MONDO_0015759;MONDO_0015760;MONDO_0006247;MONDO_0000448;MONDO_0044881;MONDO_0005170;MONDO_0005065;MONDO_0005012;MONDO_0005184;EFO_0004251;MONDO_0005005;MONDO_0005008;MONDO_0005571;MONDO_0005082;MONDO_0018866;Orphanet_51,"essential thrombocythemia;myelofibrosis;Eczematoid dermatitis;myeloproliferative disorder;graft versus host disease;acquired polycythemia vera;neoplasm;graft versus host disease;chronic graft versus host disease;malignant pancreatic neoplasm;primary myelofibrosis;myelofibrosis;myelofibrosis;pancreatic adenocarcinoma;exocrine pancreatic carcinoma;acute graft versus host disease;hemophagocytic syndrome;atopic eczema;vitiligo;COVID-19;acute respiratory distress syndrome;acute graft versus host disease;macrophage activation syndrome;hand eczema;prurigo nodularis;hidradenitis suppurativa;B-cell childhood acute lymphoblastic leukemia;precursor B-cell acute lymphoblastic leukemia;T-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;T-lymphoblastic lymphoma;precursor B-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;acute lymphoblastic leukemia;acute lymphoblastic leukemia;COVID-19;hypereosinophilic syndrome;rheumatoid arthritis;psoriasis vulgaris;prostate cancer;plasma cell myeloma;acute myeloid leukemia;lymphoblastic lymphoma;pancreatic adenocarcinoma;breast cancer;acute myeloid leukemia;classic Hodgkin lymphoma;alopecia areata;Hodgkins lymphoma;lymphoma;thalassemia;Cachexia;cancer;non-small cell lung carcinoma;colorectal cancer;hemophagocytic syndrome;inflammatory breast carcinoma;anemia;mycosis fungoides;mature T-cell and NK-cell non-Hodgkin lymphoma;T-cell large granular lymphocyte leukemia;head and neck squamous cell carcinoma;myelodysplastic syndrome;chronic myelogenous leukemia, BCR-ABL1 positive;bronchiolitis obliterans syndrome;lichen planus;chronic myelomonocytic leukemia;mature T-cell and NK-cell non-Hodgkin lymphoma;adult T-cell leukemia/lymphoma;Hodgkins lymphoma;myeloproliferative neoplasm;myeloproliferative neoplasm;severe acute respiratory syndrome;necrobiosis lipoidica;cancer;cutaneous squamous cell carcinoma;discoid lupus erythematosus;bronchiolitis obliterans syndrome;B-cell acute lymphoblastic leukemia;myocarditis;autoimmune polyendocrine syndrome type 1;chronic graft versus host disease;myeloid neoplasm;lichen planus;lichen disease;Histiocytosis;seborrheic dermatitis;atypical chronic myeloid leukemia, BCR-ABL1 negative;juvenile myelomonocytic leukemia;Eczematoid dermatitis;disease recurrence;inclusion body myositis;graft versus host disease;myelodysplastic syndrome;dermatomyositis;acute graft versus host disease;glioblastoma;myeloid neoplasm;primary cutaneous T-cell non-Hodgkin lymphoma;acute lymphoblastic leukemia;adult T-cell leukemia/lymphoma;B-cell chronic lymphocytic leukemia;triple-negative breast carcinoma;HER2 positive breast carcinoma;lung adenocarcinoma;acute leukemia;myelodysplastic/myeloproliferative neoplasm;lymphoma;hematopoietic and lymphoid cell neoplasm;neoplasm;acute lymphoblastic leukemia;myeloproliferative disorder;diffuse large B-cell lymphoma;T-cell acute lymphoblastic leukemia;dermatitis;neuromyelitis optica;malignant atrophic papulosis;severe aplastic anemia;myelofibrosis;myelofibrosis;acquired polycythemia vera;essential thrombocythemia;idiopathic aplastic anemia;non-small cell lung carcinoma;renal cell carcinoma;sickle cell disease;T-cell prolymphocytic leukemia;leukemia;myelodysplastic/myeloproliferative neoplasm;non-Hodgkin lymphoma;B-cell non-Hodgkin lymphoma;T-cell non-Hodgkin lymphoma;histiocytic and dendritic cell neoplasm;paraganglioma;hematopoietic and lymphoid cell neoplasm;myeloid neoplasm;mesothelioma;cutaneous melanoma;pancreatic ductal adenocarcinoma;myeloproliferative disorder;clear cell renal carcinoma;colorectal adenocarcinoma;polycythemia;prostate adenocarcinoma;Aicardi-Goutieres syndrome;Aicardi-Goutières syndrome",APPROVAL,
JAK2,ENSG00000096968,CHEMBL1795071,RUXOLITINIB PHOSPHATE,MONDO_0013730;MONDO_0008661;MONDO_0044903;MONDO_0009692;MONDO_0009891;MONDO_0005029;EFO_1001494;MONDO_0018905;MONDO_0000430;MONDO_0002280;MONDO_0004653;MONDO_0018881;MONDO_0020076;MONDO_0020311;MONDO_0019451;MONDO_0004967;MONDO_0005340;MONDO_0004948;MONDO_0004948;MONDO_0018874;MONDO_0002158;MONDO_0015686;MONDO_0005140;MONDO_0018364;MONDO_0013730;MONDO_0011962;MONDO_0004980,"graft versus host disease;vitiligo;myelofibrosis;primary myelofibrosis;acquired polycythemia vera;essential thrombocythemia;psoriasis vulgaris;diffuse large B-cell lymphoma;mature T-cell and NK-cell non-Hodgkin lymphoma;anemia;atypical chronic myeloid leukemia, BCR-ABL1 negative;myelodysplastic syndrome;myeloproliferative neoplasm;chronic myelomonocytic leukemia;chronic neutrophilic leukemia;acute lymphoblastic leukemia;alopecia areata;B-cell chronic lymphocytic leukemia;B-cell chronic lymphocytic leukemia;acute myeloid leukemia;fallopian tube cancer;primary peritoneal carcinoma;ovarian carcinoma;malignant epithelial tumor of ovary;graft versus host disease;endometrial cancer;atopic eczema",APPROVAL,
JAK2,ENSG00000096968,CHEMBL4594275,GUSACITINIB,MONDO_0004980;HP_0000964;MONDO_0004980;EFO_0022959;MONDO_0020804;MONDO_0005062;MONDO_0000430;MONDO_0004948;MONDO_0018876;MONDO_0018905;MONDO_0044903;MONDO_0018906;MONDO_0007187;MONDO_0004670;MONDO_0007915;MONDO_0007915;HP_0011123;MONDO_0002334;MONDO_0007179,atopic eczema;Eczematoid dermatitis;atopic eczema;hand eczema;basal cell carcinoma;lymphoma;mature T-cell and NK-cell non-Hodgkin lymphoma;B-cell chronic lymphocytic leukemia;mantle cell lymphoma;diffuse large B-cell lymphoma;myelofibrosis;follicular lymphoma;nevoid basal cell carcinoma syndrome;lupus erythematosus;systemic lupus erythematosus;systemic lupus erythematosus;Inflammatory abnormality of the skin;hematopoietic and lymphoid system neoplasm;autoimmune disease,PHASE_2,
JAK2,ENSG00000096968,CHEMBL3137308,PEFICITINIB,EFO_1001494;MONDO_0008383;EFO_1001494;MONDO_0005101,psoriasis vulgaris;rheumatoid arthritis;psoriasis vulgaris;ulcerative colitis,PHASE_3,
