"geo_accession","sample","condition","tissue","age","genotype","group"
"GSM3968615","X3mo_skM_WT_1","WT","gastrocnemius muscle","3 months","WT","control"
"GSM3968616","X3mo_skM_WT_2","WT","gastrocnemius muscle","3 months","WT","control"
"GSM3968617","X3mo_skM_WT_3","WT","gastrocnemius muscle","3 months","WT","control"
"GSM3968618","X3mo_skM_hetL1002P_1","hetL1002P","gastrocnemius muscle","3 months","hetL1002P","case"
"GSM3968619","X3mo_skM_hetL1002P_2","hetL1002P","gastrocnemius muscle","3 months","hetL1002P","case"
"GSM3968620","X3mo_skM_hetL1002P_3","hetL1002P","gastrocnemius muscle","3 months","hetL1002P","case"
"GSM3968621","X3mo_skM_hetX753_1","hetX753","gastrocnemius muscle","3 months","hetX753","case"
"GSM3968622","X3mo_skM_hetX753_2","hetX753","gastrocnemius muscle","3 months","hetX753","case"
"GSM3968623","X3mo_skM_hetX753_3","hetX753","gastrocnemius muscle","3 months","hetX753","case"
