rank,pct,cosine,name,type,node_id
1,3.225806451612903,-0.13548266887664795,Filgotinib,drug,15768
2,6.451612903225806,-0.16128313541412354,Ruxolitinib,drug,15597
3,9.67741935483871,-0.18528041243553162,Baricitinib,drug,15666
4,12.903225806451612,-0.18989060819149017,Sarilumab,drug,15662
5,16.129032258064516,-0.1899004727602005,Tocilizumab,drug,15563
6,19.35483870967742,-0.19929097592830658,Entrectinib,drug,15673
7,22.580645161290324,-0.20833463966846466,XL019,drug,19316
8,25.806451612903224,-0.20865745842456818,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",drug,19315
9,29.032258064516128,-0.21232552826404572,Fedratinib,drug,15250
10,32.25806451612903,-0.21245113015174866,Cambinol,drug,19378
11,35.483870967741936,-0.21403023600578308,Fostamatinib,drug,15674
12,38.70967741935484,-0.219161257147789,Benzylsulfonic acid,drug,18407
13,41.935483870967744,-0.22045636177062988,Zanubrutinib,drug,15748
14,45.16129032258065,-0.22982443869113922,Tofacitinib,drug,14407
15,48.38709677419355,-0.23777258396148682,Sirolimus,drug,14975
16,51.61290322580645,-0.255066841840744,3-Fluoro-L-tyrosine,drug,20041
17,54.83870967741935,-0.25833025574684143,Everolimus,drug,15176
18,58.064516129032256,-0.26333191990852356,Upadacitinib,drug,15269
19,61.29032258064516,-0.27617964148521423,Myricetin,drug,18870
20,64.51612903225806,-0.2789458632469177,Ridaforolimus,drug,15560
21,67.74193548387096,-0.2820289731025696,Mangafodipir,drug,14389
22,70.96774193548387,-0.2848846912384033,4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,drug,19318
23,74.19354838709677,-0.2855302691459656,SF1126,drug,18180
24,77.41935483870968,-0.28734326362609863,Pimecrolimus,drug,15432
25,80.64516129032258,-0.2994404137134552,Rimiducid,drug,19307
26,83.87096774193549,-0.3041505813598633,Temsirolimus,drug,15012
27,87.09677419354838,-0.3182375431060791,Polaprezinc,drug,14734
28,90.3225806451613,-0.3237176537513733,XL765,drug,18872
29,93.54838709677419,-0.3326067328453064,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,drug,19319
30,96.7741935483871,-0.33421164751052856,Thimerosal,drug,14444
31,100.0,-0.3475421667098999,5-phenyl-1H-indazol-3-amine,drug,19317
