rank,pct,cosine,name,type,node_id
1,3.225806451612903,-0.11421297490596771,Sarilumab,drug,15662
2,6.451612903225806,-0.14996150135993958,Tocilizumab,drug,15563
3,9.67741935483871,-0.1576068103313446,Tofacitinib,drug,14407
4,12.903225806451612,-0.15907476842403412,Ruxolitinib,drug,15597
5,16.129032258064516,-0.17011547088623047,Upadacitinib,drug,15269
6,19.35483870967742,-0.1850820779800415,Fostamatinib,drug,15674
7,22.580645161290324,-0.19405612349510193,Baricitinib,drug,15666
8,25.806451612903224,-0.19465133547782898,Everolimus,drug,15176
9,29.032258064516128,-0.204191654920578,Cambinol,drug,19378
10,32.25806451612903,-0.20482273399829865,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",drug,19315
11,35.483870967741936,-0.21181125938892365,Fedratinib,drug,15250
12,38.70967741935484,-0.21690614521503448,5-phenyl-1H-indazol-3-amine,drug,19317
13,41.935483870967744,-0.22227007150650024,Entrectinib,drug,15673
14,45.16129032258065,-0.22375987470149994,Mangafodipir,drug,14389
15,48.38709677419355,-0.24263110756874084,Thimerosal,drug,14444
16,51.61290322580645,-0.24670401215553284,Myricetin,drug,18870
17,54.83870967741935,-0.24824190139770508,XL765,drug,18872
18,58.064516129032256,-0.2563026547431946,Filgotinib,drug,15768
19,61.29032258064516,-0.2563703656196594,Ridaforolimus,drug,15560
20,64.51612903225806,-0.25642743706703186,Rimiducid,drug,19307
21,67.74193548387096,-0.2610938251018524,4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,drug,19318
22,70.96774193548387,-0.261749804019928,XL019,drug,19316
23,74.19354838709677,-0.272670716047287,Benzylsulfonic acid,drug,18407
24,77.41935483870968,-0.2973855435848236,Pimecrolimus,drug,15432
25,80.64516129032258,-0.3015023171901703,3-Fluoro-L-tyrosine,drug,20041
26,83.87096774193549,-0.301628977060318,Zanubrutinib,drug,15748
27,87.09677419354838,-0.3024746775627136,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,drug,19319
28,90.3225806451613,-0.31203195452690125,Sirolimus,drug,14975
29,93.54838709677419,-0.3121488094329834,Temsirolimus,drug,15012
30,96.7741935483871,-0.33959704637527466,SF1126,drug,18180
31,100.0,-0.3424609303474426,Polaprezinc,drug,14734
