mean_rank,mean_cosine,n_seeds,name,type
2.6666666666666665,-0.1429283693432808,3,Sarilumab,drug
2.6666666666666665,-0.1425552765528361,3,Ruxolitinib,drug
3.6666666666666665,-0.16029556592305502,3,Tocilizumab,drug
6.0,-0.16054600228865942,3,Fostamatinib,drug
7.333333333333333,-0.18539173901081085,3,Tofacitinib,drug
8.0,-0.20078184207280478,3,Baricitinib,drug
9.0,-0.1905212253332138,3,Filgotinib,drug
9.666666666666666,-0.20723467071851095,3,Cambinol,drug
10.666666666666666,-0.21296298503875732,3,Fedratinib,drug
11.0,-0.21765361726284027,3,"2-tert-butyl-9-fluoro-1,6-dihydrobenzo[h]imidazo[4,5-f]isoquinolin-7-one",drug
11.333333333333334,-0.21498157580693564,3,Upadacitinib,drug
11.666666666666666,-0.22265071670214334,3,Entrectinib,drug
13.666666666666666,-0.23290839791297913,3,Myricetin,drug
15.666666666666666,-0.24264615774154663,3,Everolimus,drug
16.0,-0.24448821445306143,3,XL019,drug
16.666666666666668,-0.24209163586298624,3,Sirolimus,drug
17.333333333333332,-0.24618083238601685,3,4-(3-amino-1H-indazol-5-yl)-N-tert-butylbenzenesulfonamide,drug
17.666666666666668,-0.25569551686445874,3,Mangafodipir,drug
18.666666666666668,-0.26058337092399597,3,5-phenyl-1H-indazol-3-amine,drug
19.666666666666668,-0.2630409300327301,3,Zanubrutinib,drug
21.0,-0.2731933097044627,3,Ridaforolimus,drug
22.0,-0.28352096180121106,3,Benzylsulfonic acid,drug
22.333333333333332,-0.2881099283695221,3,3-Fluoro-L-tyrosine,drug
23.333333333333332,-0.2857026259104411,3,Rimiducid,drug
24.333333333333332,-0.30196548501650494,3,XL765,drug
24.333333333333332,-0.2967548072338104,3,4-[(2-{4-[(CYCLOPROPYLCARBAMOYL)AMINO]-1H-PYRAZOL-3-YL}-1H-BENZIMIDAZOL-6-YL)METHYL]MORPHOLIN-4-IUM,drug
24.666666666666668,-0.3089769383271535,3,Thimerosal,drug
25.333333333333332,-0.3016921281814575,3,SF1126,drug
26.0,-0.31373660763104755,3,Pimecrolimus,drug
26.333333333333332,-0.31121591726938885,3,Polaprezinc,drug
27.333333333333332,-0.31088056166966754,3,Temsirolimus,drug
